target_name,gene,description,KOG,remarks,Mountain,fL3s446,eL3s82,FC,fL3s364,eL3s125,FC.1,fL4s660,eL4s408,FC.2,fL4s1165,eL4s377,FC.3,fADs1711,eADs213,FC.4,fADs547,eADs598,FC.5,fL3m1612,eL3m951,FC.6,fL3m4134,eL3m1037,FC.7,fL4m1857,eL4m1318,FC.8,fL4m3713,eL4m3494,FC.9,fADm2498,eADm2449,FC.10,fADm2040,eADm2527,FC.11,fADm981,eADm599,FC.12,fADm631,eADm765,FC.13,Input,Suggested Match,History
F53G12.1,rab-11.1,"rab-11.1 encodes a small GTPase homologous to the Rab GTPases that function in endocytosis, membrane fusion, and vesicular trafficking events; RAB-11.1 activity is required for completion of the final stages of cytokinesis during early embryogenesis and for efficient uptake of yolk proteins during oocyte development; RAB-11.1 is also required for normal peripheral localization of nuclei in the synctial germ cell in the ovary. ","GTPase Rab11/YPT3, small G protein superfamily ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain ,28,4,1.29,27,10,0.97,51,8,3.65,69,5,3.92,148,3,46.26,27,0,30.47,307,90,2.02,1722,380,1.15,664,569,0.83,1631,1449,1.06,820,1325,0.61,723,1326,0.67,353,247,0.88,236,382,0.75,F53G12.1,WBGene00004274,Sequence name for WBGene00004274(rab-11.1). History: N.A.
F53G2.3,F53G2.3,,Unnamed protein ,sRNA_UP in ego-1_AND_mRNA_inconsistent,,1,0,0.45,1,2,0.25,0,13,0.05,2,25,0.04,17,396,0.06,3,32,0.13,0,0,0.6,0,0,0.25,0,0,0.71,1,0,1.88,1,0,1.96,0,0,1.24,0,0,0.62,0,0,1.21,F53G2.3,WBGene00018768,Public name for WBGene00018768. History: N.A.
F53G2.6,tsr-1,"tsr-1 encodes a homolog of human transportin-SR, a nuclear transport receptor, and affects embryonic viability. ",Nuclear transport regulator ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,72,0,16.25,55,7,2.66,75,12,3.69,139,5,7.85,245,6,43.65,74,0,81.63,23,0,14.29,45,40,0.29,10,37,0.21,69,57,1.14,54,117,0.46,48,119,0.5,15,10,0.9,13,23,0.7,F53G2.6,WBGene00006647,Sequence name for WBGene00006647(tsr-1). History: N.A.
F53H10.2b,F53H10.2,,"Predicted DNA-binding protein, contains SANT and ELM2 domains ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 6,24,6,0.79,32,5,2.09,66,10,3.84,65,2,7.4,140,16,10.3,34,0,38.09,42,25,0.98,193,65,0.75,83,70,0.84,343,141,2.28,47,114,0.41,45,92,0.61,43,24,1.09,18,19,1.15,F53H10.2b,WBGene00010012,Molecule name for WBGene00010012(saeg-1). History: N.A.
F53H4.6,F53H4.6,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 3,36,1,4.12,32,2,4.18,120,14,5.09,104,8,3.92,525,39,16.33,112,10,11.18,0,0,0.6,6,2,0.59,16,4,2.42,21,8,2.3,13,5,2.29,6,12,0.67,2,4,0.37,3,3,1.21,F53H4.6,WBGene00010011,Public name for WBGene00010011. History: N.A.
F54B11.5,F54B11.5,,Predicted E3 ubiquitin ligase ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 6,6,7,0.19,5,9,0.23,34,5,3.68,86,6,4.18,96,2,40.16,32,0,35.92,4,0,2.98,13,7,0.45,5,7,0.53,21,13,1.48,14,16,0.87,9,15,0.77,10,1,3.4,14,4,3.62,F54B11.5,WBGene00010028,Public name for WBGene00010028. History: N.A.
F54B3.3,F54B3.3,,AAA+-type ATPase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 20,26,0,6.01,39,2,5.06,40,2,8.62,59,4,4.03,118,3,36.95,37,0,41.36,297,217,0.81,619,154,1.02,204,124,1.17,432,472,0.86,380,908,0.41,284,874,0.4,151,239,0.39,71,155,0.56,F54B3.3,WBGene00010015,Sequence name for WBGene00010015(atad-3). History: N.A.
F54C8.3,emb-30,"emb-30 encodes an anaphase-promoting complex/cyclosome (APC/C) component orthologous to mammalian APC-4 and Schizosaccharomyces pombe Lid1; EMB-30 is required for the metaphase-to-anaphase transition during meiosis and mitosis, for establishing anterior-posterior polarity in the early embryo, and for proper localization of germline granules and the maternally provided PAR-2 and PAR-3 proteins. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,38,7,1.09,52,6,2.88,104,9,6.63,123,5,6.95,196,7,30.58,51,0,56.59,125,79,0.94,395,88,1.13,216,130,1.18,438,499,0.83,634,775,0.8,555,896,0.77,241,223,0.67,136,362,0.46,F54C8.3,WBGene00001284,Sequence name for WBGene00001284(emb-30). History: N.A.
F54C8.4,F54C8.4,,"mRNA capping enzyme, guanylyltransferase (alpha) subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,39,0,8.9,18,2,2.41,59,10,3.44,71,4,4.84,116,1,72.65,38,4,8.49,65,0,39.3,305,57,1.34,92,73,0.9,387,239,1.52,394,645,0.6,340,753,0.56,295,105,1.73,130,234,0.67,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
F54C9.4,col-38,col-38 encodes a member of the collagen superfamily containing collagen triple helix repeats (20 copies) required for normal body morphology. ,"Collagens (type IV and type XIII), and related proteins ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 35,7,0,1.78,11,0,4.56,22,51,0.28,6,31,0.07,48,315,0.19,48,203,0.26,94,41,1.35,112,137,0.21,5527,3223,1.22,3606,16763,0.2,127,27,4.48,120,23,6.23,19,23,0.52,9,22,0.52,F54C9.4,WBGene00000615,Sequence name for WBGene00000615(col-38). History: N.A.
F54C9.6b,F54C9.6,"F54C9.6 encodes a protein orthologous to the human mitochondrial protein BCS1 (YEAST HOMOLOG)-LIKE (BCS1L; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=603647"">OMIM:603647</a>); mutation of BCS1L leads to neonatal tubulopathy, encephalopathy, and liver failure, or to GRACILE syndrome. ",AAA+-type ATPase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,24,0,5.56,14,2,1.9,57,6,5.23,58,2,6.61,120,0,150.28,29,0,32.65,14,26,0.33,41,24,0.43,6,15,0.31,93,38,2.27,90,136,0.65,57,139,0.51,62,33,1.15,43,26,1.97,,,
F54D5.14,F54D5.14,,DNA repair protein RAD18 (SMC family protein) ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 11,54,0,12.24,51,16,1.16,109,10,6.31,174,0,58.84,272,6,48.44,135,2,49.34,73,51,0.85,168,52,0.81,150,160,0.67,478,536,0.84,917,2003,0.45,716,2269,0.39,468,485,0.6,305,736,0.5,F54D5.14,WBGene00010056,Sequence name for WBGene00010056(smc-6). History: N.A.
F54D5.9,F54D5.9,"F54D5.9 encodes an F-box protein orthologous to to human FBXO47 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=609498"">OMIM:609498</a>, deleted in renal cell carcinoma) and paralogous to PROM-1, that suppresses excess embryonic cell division; F54D5.9(RNAi) animals show hyperproliferating embryonic tissues, while having no obvious meiotic defects. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,20,0,4.67,16,1,3.23,45,3,7.26,111,0,37.66,67,2,28.15,23,0,26.12,0,0,0.6,16,7,0.54,37,15,1.69,74,36,1.91,186,301,0.61,157,284,0.69,77,43,1.1,64,73,1.06,F54D5.9,WBGene00010053,Public name for WBGene00010053. History: N.A.
F54E12.2,F54E12.2,,"RNA polymerase II transcription termination factor TTF2/lodestar, DEAD-box superfamily ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,54,4,2.45,64,16,1.45,79,11,4.21,107,11,3.03,233,32,8.81,87,7,11.97,21,25,0.5,116,15,1.86,139,79,1.25,301,363,0.78,1155,1385,0.82,992,1445,0.85,355,380,0.58,231,415,0.67,F54E12.2,WBGene00010061,Public name for WBGene00010061. History: N.A.
F54E2.3a,ketn-1,"ketn-1 encodes an ortholog of kettin (in D. melanogaster, SALLIMUS), an invertebrate isoform or paralog of titin; ketn-1 is expressed in the reproductive system and several muscle types (body wall, vulval, anal depressor, and probably pharyngeal); ketn-1 is transcriptionally upregulated two-fold by hypoxia, requires both HIF-1 and VHL-1 for this induction, and contains three predicted HIF-1 binding sites in its predicted 5' regulatory region; KETN-1 colocalizes with actin to I-bands in muscle cells, but more narrowly than actin, and falls into repeated blocks alternating with non-overlapping blocks of vinculin; ketn-1's induction by hypoxia correlates with upregulation of other genes required for collagen synthesis (phy-2 and bli-3), encoding lectin domains (C31G12.2, F35D11.10, and F47C12.2), or encoding a chitin-binding protein (K04H4.2). ",Unnamed protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 0,8,1,1.0,41,1,7.97,80,9,5.11,117,3,9.92,894,19,55.58,176,4,38.53,776,749,0.62,1648,595,0.71,1126,816,0.98,2224,1702,1.23,690,475,1.42,531,426,1.54,74,178,0.26,45,230,0.24,F54E2.3a,WBGene00004130,Molecule name for WBGene00004130(ketn-1). History: N.A.
F54E4.1,rbc-1,"rbc-1 encodes an ortholog of S. cerevisiae RAV1; like RAV1, RBC-1 may be required for the reassociation of vacuolar proton-translocating ATPase (V-ATPase) after temporary glucose starvation. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 1,12,1,1.45,19,4,1.52,34,5,3.68,67,2,7.62,267,6,47.55,21,0,23.94,467,535,0.52,581,129,1.14,251,151,1.18,470,418,1.06,277,179,1.51,212,183,1.43,49,42,0.72,39,73,0.65,F54E4.1,WBGene00004313,Sequence name for WBGene00004313(rbc-1). History: N.A.
F54F7.7,F54F7.7,,Putative protein methyltransferase involved in meiosis and transcriptional silencing (Dot1) ,sRNA_UP in ego-1_AND_mRNA_inconsistent,Mountain 0,6,2,0.52,0,3,0.09,8,75,0.07,12,141,0.03,18,3699,0.01,6,594,0.01,0,0,0.6,0,0,0.25,0,0,0.71,0,0,0.94,0,0,0.98,0,0,1.24,0,0,0.62,0,0,1.21,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
F54H12.1b,aco-2,"aco-2 encodes an aconitase homolog that is required for embryonic viability, fertility, locomotion, and vulval morphogenesis, and perhaps for normal lifespan; ACO-2 is predicted to be mitochondrial. ",Aconitase/homoaconitase (aconitase superfamily) ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 1,20,0,4.67,14,4,1.14,47,8,3.37,69,1,11.77,77,6,13.84,25,0,28.3,1297,757,1.02,3206,1189,0.69,1487,1225,0.87,3609,1834,1.85,1556,2019,0.76,1266,2017,0.78,557,401,0.86,443,485,1.1,,,
F55A11.2,syn-3,,SNARE protein SED5/Syntaxin 5 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,29,0,6.68,29,3,2.85,30,0,19.56,57,3,4.88,110,2,45.95,54,2,19.95,10,19,0.33,200,39,1.28,46,64,0.52,280,98,2.67,202,297,0.67,178,343,0.64,88,34,1.57,69,51,1.62,F55A11.2,WBGene00006373,Sequence name for WBGene00006373(syx-5). History: Renamed on 2010-04-16
F55A12.5,F55A12.5,,,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 7,42,4,1.91,36,15,0.88,104,21,3.01,173,18,3.08,272,26,12.56,66,7,9.12,34,134,0.15,237,28,2.09,85,45,1.33,203,104,1.83,387,400,0.95,304,401,0.94,213,64,2.04,103,101,1.23,F55A12.5,WBGene00018864,Public name for WBGene00018864. History: N.A.
F55A12.8,F55A12.8,,Predicted P-loop ATPase fused to an acetyltransferase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,60,3,3.39,60,9,2.32,90,9,5.74,224,5,12.61,181,4,45.21,43,2,15.96,72,88,0.49,149,99,0.38,93,92,0.72,306,236,1.22,121,163,0.73,102,198,0.64,63,33,1.16,46,44,1.26,F55A12.8,WBGene00018866,Sequence name for WBGene00018866(nath-10). History: Renamed on 2015-03-05
F55A3.1,6-Mar,,Protein involved in mRNA turnover and stability ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 9,39,7,1.11,21,2,2.78,41,7,3.31,96,5,5.44,128,10,14.56,35,0,39.18,154,21,4.2,383,63,1.53,201,102,1.4,330,254,1.22,514,360,1.4,412,315,1.62,160,101,0.98,87,159,0.66,F55A3.1,WBGene00018847,Sequence name for WBGene00018847(marc-6). History: N.A.
F55A3.3,F55A3.3,,"Global transcriptional regulator, cell division control protein ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,73,10,1.5,62,13,1.71,249,21,7.17,342,33,3.39,306,81,4.65,146,10,14.54,902,345,1.55,1173,274,1.09,694,391,1.26,1156,1343,0.81,3370,1451,2.28,2555,1385,2.28,1246,714,1.08,567,643,1.06,F55A3.3,WBGene00018849,Sequence name for WBGene00018849(spt-16). History: N.A.
F55D10.3,glit-1,,Carboxylesterase and related proteins ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,90,7,2.53,106,15,2.54,307,27,6.94,220,17,4.13,786,44,21.72,161,10,16.03,39,8,2.65,41,53,0.2,20,26,0.55,79,35,2.09,36,46,0.77,26,45,0.73,12,7,1.01,6,12,0.65,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
F55F10.1,F55F10.1,,AAA ATPase containing von Willebrand factor type A (vWA) domain ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,122,10,2.49,75,23,1.2,214,42,3.16,372,26,4.65,361,7,56.2,168,12,14.15,1733,1488,0.69,1349,557,0.62,990,614,1.15,1398,2555,0.52,1776,1185,1.47,1563,1298,1.49,596,463,0.8,271,483,0.68,F55F10.1,WBGene00018898,Public name for WBGene00018898. History: N.A.
F55F8.4,cir-1,,CBF1-interacting corepressor CIR and related proteins ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,24,4,1.11,16,1,3.23,79,1,25.24,56,0,19.17,60,0,75.76,23,3,6.53,126,107,0.7,452,86,1.33,320,163,1.4,624,580,1.01,1042,810,1.26,858,834,1.27,656,291,1.39,267,455,0.71,F55F8.4,WBGene00018892,Sequence name for WBGene00018892(cir-1). History: N.A.
F55G1.4,rod-1,,Kinetochore component ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,96,9,2.16,96,8,4.09,257,20,7.75,577,5,32.39,457,9,56.88,172,9,18.83,45,29,0.91,211,76,0.7,242,192,0.9,556,385,1.36,1103,1061,1.02,901,1127,0.99,258,169,0.94,130,203,0.77,F55G1.4,WBGene00018900,Sequence name for WBGene00018900(rod-1). History: N.A.
F55G1.8,plk-3,"plk-3 encodes one of three C. elegans polo-like kinases; microarray analyses indicate that plk-3 transcripts are expressed maternally and downregulated in gonadal tissue mutant for deps-1, which encodes a novel, P granule-associated protein that promotes P granule assembly and germline RNA interference. ",Polo-like serine/threonine protein kinase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,40,1,4.56,31,8,1.35,94,9,6.0,252,4,17.01,149,5,31.05,60,0,66.39,0,0,0.6,8,10,0.21,29,28,0.74,198,88,2.1,261,573,0.45,223,559,0.49,103,63,1.01,121,89,1.64,F55G1.8,WBGene00004044,Sequence name for WBGene00004044(plk-3). History: N.A.
F55H2.6,clu-1,"clu-1 encodes an ortholog of CLU1/TIF31 in S. cerevisiae, which directs proper cytoplasmic distribution of mitochondria and physically interacts with eukaryotic translation initiation factor 3 (eIF3); worm CLU-1 may be required for the proper distribution of mitochondria, but is dispensable for viability and gross morphology in mass RNAi screens. ","Uncharacterized protein CLU1/cluA/TIF31 involved in mitochondrial morphology/distribution, also found associated with eIF-3 ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,51,4,2.31,105,6,5.75,77,13,3.52,152,8,5.72,278,7,43.31,83,7,11.43,183,129,0.84,452,286,0.4,150,126,0.85,571,383,1.4,330,630,0.51,258,665,0.48,132,76,1.07,77,87,1.07,F55H2.6,WBGene00000550,Sequence name for WBGene00000550(clu-1). History: N.A.
F56A3.3b,npp-6,"npp-6 encodes a protein with weak similarity to mouse nuclear pore complex protein Nup160, and affects embryonic and larval viability. ","Nuclear pore complex, Nup160 component ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,38,0,8.68,46,5,2.97,94,5,9.99,103,3,8.74,159,2,66.24,43,0,47.89,39,5,3.97,87,41,0.53,66,76,0.62,228,216,0.99,236,515,0.45,200,459,0.54,59,64,0.57,53,81,0.79,F56A3.3b,WBGene00003792,Molecule name for WBGene00003792(npp-6). History: Renamed on 2015-03-05
F56A3.4,spd-5,,,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 11,198,5,7.38,162,9,6.19,280,13,12.67,487,8,18.23,306,22,16.58,150,11,13.7,114,166,0.41,332,171,0.49,514,450,0.81,985,1235,0.75,1760,2572,0.67,1464,2786,0.65,710,664,0.66,396,720,0.66,F56A3.4,WBGene00004955,Sequence name for WBGene00004955(spd-5). History: N.A.
F56C11.1,bli-3,"bli-3 encodes a large homolog of dual oxidase ('Ce-Duox1'), with an N-terminal peroxidase domain, two central calmodulin-binding EF hands, and a C-terminal superoxide-generating NADPH-oxidase domain; BLI-3 is required for dityrosine cross-linking of collagen, and thus for cuticular integrity; BLI-3 is thought to use cytosolic NADPH to generate reactive oxygen, which then drives the peroxidase ectodomain to cross-link free tyrosine in collagen; BLI-3 is expressed exclusively in hypodermal cells at low levels, with peaks of expression corresponding to collagen/cuticle biosynthesis. ","Ferric reductase, NADH/NADPH oxidase and related proteins ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 16,26,3,1.5,14,7,0.71,55,9,3.53,100,5,5.66,79,9,9.94,15,0,17.41,14,35,0.25,142,30,1.18,35,31,0.8,125,123,0.96,15,23,0.65,16,22,0.91,3,5,0.41,4,3,1.51,F56C11.1,WBGene00000253,Sequence name for WBGene00000253(bli-3). History: N.A.
F56C9.1,gsp-2,,"Serine/threonine specific protein phosphatase PP1, catalytic subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 1,61,2,4.6,58,15,1.4,134,4,17.04,267,8,10.01,224,7,34.93,78,3,21.5,123,23,3.08,669,208,0.82,266,223,0.85,717,409,1.65,462,776,0.58,350,841,0.52,207,128,1.0,190,157,1.46,F56C9.1,WBGene00001748,Sequence name for WBGene00001748(gsp-2). History: N.A.
F56C9.6b,F56C9.6,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,55,10,1.13,35,12,1.05,78,5,8.31,334,5,18.77,193,1,120.47,70,0,77.27,2,0,1.79,17,14,0.31,59,46,0.91,151,369,0.39,432,388,1.09,347,391,1.1,215,116,1.14,108,175,0.75,F56C9.6b,WBGene00018950,Molecule name for WBGene00018950(F56C9.6). History: N.A.
F56D1.3,F56D1.3,,Mitochondrial/chloroplast ribosomal protein S16 ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 20,18,13,0.3,21,7,1.04,34,1,11.04,64,5,3.64,105,13,9.4,61,21,3.07,37,3,5.66,116,49,0.6,51,29,1.24,136,102,1.25,78,162,0.48,79,170,0.58,40,29,0.85,23,16,1.7,F56D1.3,WBGene00018961,Sequence name for WBGene00018961(mrps-16). History: N.A.
F56D1.7,daz-1,"daz-1 encodes a protein containing an RNA recognition motif that is required for the progression of meiosis during oogenesis; DAZ-1 is expressed in the germline, and expression levels peak in the proximal pachytene region; cpb-3(bt17);daz-1(tj3) hermaphrodites have a synthetic phenotype of total sterility and masculinization; DAZ-1 colocalizes with CPB-3 in vivo, coimmunoprecipitates with CPB-3, and binds CPB-3 in two-hybrid assays. ",RRM domain ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 7,31,14,0.47,18,8,0.8,79,7,6.31,166,0,56.15,89,3,27.94,14,0,16.33,0,0,0.6,9,6,0.36,39,29,0.95,180,53,3.16,202,189,1.05,195,237,1.02,60,27,1.35,57,44,1.56,F56D1.7,WBGene00000935,Sequence name for WBGene00000935(daz-1). History: N.A.
F56D2.1,ucr-1,,"Mitochondrial processing peptidase, beta subunit, and related enzymes (insulinase superfamily) ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,26,0,6.01,32,6,1.79,60,2,12.83,134,8,5.04,88,4,22.11,50,5,9.25,546,274,1.18,1912,592,0.82,898,672,0.95,1663,1178,1.33,624,841,0.73,499,797,0.77,163,179,0.56,177,147,1.45,F56D2.1,WBGene00018963,Sequence name for WBGene00018963(ucr-1). History: N.A.
F56D2.6b,F56D2.6,"The F56D2.6 gene encodes a DEAH helicase orthologous to the Drosophila CG11107, the human DDX15, and the S. cerevisiae PRP43 proteins. ",mRNA splicing factor ATP-dependent RNA helicase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,58,4,2.63,51,4,3.95,68,1,21.77,106,3,8.99,93,0,116.74,42,1,23.4,131,93,0.84,242,119,0.52,152,157,0.69,396,437,0.85,380,536,0.7,304,570,0.66,121,84,0.89,107,117,1.1,F56D2.6b,WBGene00018967,Molecule name for WBGene00018967(ddx-15). History: N.A.
F56F11.3,klf-1,klf-1 encodes a C2H2 zinc finger protein which based on homology belongs to the family of mammalian Kruppel-like transcription factors which are involved in regulation of cellular development and differentiation; klf-1 is essential for fat regulation; RNA interference studies indicate that klf-1 may also be involved in apoptosis and the phagocytosis of apoptotic cells in the uterus and germline; klf-1 is localized to the intestine in larval and adult worms. ,Zn-finger ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,106,0,23.82,69,4,5.32,395,15,15.62,707,15,14.88,338,3,105.26,319,7,43.53,13,0,8.34,41,18,0.56,16,11,1.01,66,32,1.91,16,30,0.54,16,14,1.4,5,5,0.62,4,5,1.01,F56F11.3,WBGene00018990,Sequence name for WBGene00018990(klf-1). History: N.A.
F56F3.1,pqn-45,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77). ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,43,3,2.45,62,3,5.98,123,9,7.83,266,4,17.96,185,2,77.0,87,3,23.94,270,209,0.77,458,122,0.95,662,202,2.33,865,1231,0.66,3076,2687,1.12,2441,2663,1.13,1042,774,0.83,590,1068,0.67,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
F56H1.4,rpt-5,"rpt-5 encodes a triple A ATPase subunit of the 26S proteasome's 19S regulatory particle (RP) base subcomplex; RPT-5 is required for embryonic, larval, and germline development and by homology, is predicted to function in unfolding protein substrates and translocating them into the core proteolytic particle (CP) of the proteasome. ","26S proteasome regulatory complex, ATPase RPT5 ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,19,3,1.11,20,7,1.0,87,2,18.51,213,3,17.99,138,1,86.32,48,0,53.33,61,7,4.61,450,105,1.08,162,156,0.74,540,409,1.24,491,639,0.75,392,627,0.77,172,116,0.91,174,148,1.42,F56H1.4,WBGene00004505,Sequence name for WBGene00004505(rpt-5). History: N.A.
F57A10.3,haf-3,haf-3 encodes a member of the ABC transporter family with highest similarity to human ABCB10. ,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 0,14,2,1.11,29,7,1.42,43,7,3.47,80,6,3.89,86,5,18.01,62,8,7.62,69,0,41.68,179,62,0.73,44,48,0.66,241,147,1.54,137,238,0.57,119,240,0.62,36,25,0.88,59,38,1.86,F57A10.3,WBGene00001813,Sequence name for WBGene00001813(haf-3). History: N.A.
F57B1.2,sun-1,"sun-1 encodes a paralog of UNC-84, also called matefin, whose general domain organization (one or more central transmembrane and coiled-coil domains, followed by a C-terminal SUN domain) is shared by Sad1p from Schizosaccharomyces pombe and UNC-84 from C. elegans; SUN-1 is a nuclear envelope receptor for CED-4 during apoptosis, and is bound by CED-4 in vitro; SUN-1 is partially required for apoptosis, since sun-1(RNAi) animals have a moderate defect in normal cell death; SUN-1 is strongly expressed in the nuclear envelope of all early embryonic cells, the primordial germ cells Z2 and Z3, and the germ cell lineage (but not in sperm); early (embryonic) SUN-1 protein is provided maternally, while germ line SUN-1 is zygotic; SUN-1 colocalizes with the nuclear lamin LMN-1 in vivo and binds it in vitro; SUN-1 is required for localization of the hook protein ZYG-12 to the nuclear envelope, and thus for the attachment of centrosomes to nuclei; SUN-1 and UNC-84 may define a class of proteins localized to the outer nuclear envelope but not the endoplasmic reticulum. ","Spindle pole body protein, contains UNC-84 domain ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,67,0,15.14,41,3,3.99,66,4,8.46,91,3,7.73,130,3,40.67,33,3,9.25,42,0,25.61,14,6,0.55,84,20,2.89,101,162,0.59,315,444,0.7,277,441,0.78,130,93,0.86,75,123,0.74,F57B1.2,WBGene00006311,Sequence name for WBGene00006311(sun-1). History: N.A.
F57B10.4,F57B10.4,,Uncharacterized protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,107,9,2.4,61,12,1.81,133,19,4.23,187,12,4.86,196,42,5.69,55,10,5.54,2,0,1.79,33,7,1.08,28,40,0.5,134,98,1.28,126,435,0.29,97,433,0.28,42,61,0.43,41,76,0.66,F57B10.4,WBGene00019002,Sequence name for WBGene00019002(syp-6). History: N.A.
F57B9.5,byn-1,"byn-1 encodes a homolog of mammalian BYSTIN-LIKE (BYSL; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=603871"">OMIM:603871</a>). ",Cell adhesion complex protein bystin ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,38,2,2.89,40,10,1.42,102,9,6.5,286,8,10.72,224,6,39.92,51,5,9.43,137,19,4.11,338,123,0.7,127,105,0.86,410,303,1.27,241,284,0.83,228,371,0.76,137,59,1.42,81,94,1.04,F57B9.5,WBGene00000276,Sequence name for WBGene00000276(byn-1). History: N.A.
F57B9.6b,inf-1,inf-1 encodes a protein with high similarity to eukaryotic initiation factor 4A. ,"Translation initiation factor 4F, helicase subunit (eIF-4A) and related helicases ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 20,41,0,9.35,30,7,1.47,85,12,4.17,147,3,12.44,91,1,57.13,41,2,15.24,272,189,0.86,1017,434,0.6,262,373,0.5,1043,703,1.4,570,769,0.73,525,736,0.88,157,116,0.84,187,131,1.72,F57B9.6b,WBGene00002083,Molecule name for WBGene00002083(inf-1). History: N.A.
F57C9.5,htp-3,"htp-3 encodes a HORMA domain-containing protein that is one of three C. elegans HIM-3 paralogs; during meiosis, htp-3 activity is required for homologous chromosome alignment and synapsis, and for meiotic double strand break formation; immunoprecipitation experiments indicate that HTP-3 interacts in vivo with complexes containing MRE-11 and RAD-50, and HIM-3; HTP-3 is expressed in the germline where it localizes to chromatin in premeiotic nuclei and, with HIM-3, to the axes, or cores, of meiotic chromosomes; HTP-3 localization to premeiotic chromatin and meiotic chromosomes is dependent upon scc-3 activity, while in turn HIM-3 localization to meiotic chromosomal axes, and SYP-1 localization to the synaptonemal complex, is dependent upon HTP-3 activity. ",HORMA domain ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,54,0,12.24,53,2,6.84,113,8,7.99,253,3,21.35,195,5,40.57,63,0,69.65,14,0,8.93,29,26,0.28,59,51,0.82,258,222,1.09,412,664,0.61,382,688,0.69,188,79,1.46,86,110,0.95,F57C9.5,WBGene00002034,Sequence name for WBGene00002034(htp-3). History: N.A.
