# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
B0361.11,chrIII,+,7277531,7281126,-31.6,0.0,-30.5,1.8,34,78,42,20.0,23.0,B0361.11,WBGene00015165,Public name for WBGene00015165. History: N.A.
F37D6.3,chrI,+,10486705,10487313,-31.6,0.0,-30.5,2.0,29,66,33,19.0,20.0,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
ZK262.9,chrV,+,18440544,18441306,-31.3,0.0,-30.3,5.4,9,21,3,19.0,20.0,ZK262.9,WBGene00013954,Public name for WBGene00013954. History: N.A.
C30C11.1,chrIII,+,8449674,8450427,-31.3,0.0,-30.3,5.4,9,21,3,20.0,22.0,C30C11.1,WBGene00016249,Sequence name for WBGene00016249(mrpl-32). History: N.A.
ZK1128.7,chrIII,+,10136966,10138876,-31.3,0.0,-30.3,6.4,8,18,2,20.0,20.0,ZK1128.7,WBGene00014233,Public name for WBGene00014233. History: N.A.
T11F8.3,chrIV,+,5469982,5473160,-31.0,0.0,-30.1,1.9,31,71,37,21.0,21.0,T11F8.3,WBGene00004374,Sequence name for WBGene00004374(rme-2). History: N.A.
W02A2.7,chrIV,+,13353690,13356071,-30.8,0.0,-30.0,2.0,27,62,30,20.0,21.0,W02A2.7,WBGene00003230,Sequence name for WBGene00003230(mex-5). History: N.A.
C16A11.3,chrII,+,4229545,4234317,-30.5,0.0,-29.7,2.0,28,64,32,21.0,22.0,C16A11.3,WBGene00015816,"Public name for WBGene00015816. History: Split into C16A11.10(WBGene00185089). History of WBGene00015816: Split into ""WBGene00185089"" on 2009-03-13"
Y18D10A.13,chrI,+,12878584,12902770,-30.1,0.0,-29.4,2.9,15,34,11,21.0,21.0,Y18D10A.13,WBGene00003905,Sequence name for WBGene00003905(pad-1). History: N.A.
M02F4.1,chrX,-,3027245,3030754,-30.1,0.0,-24.3,2.5,25,57,22,19.0,21.0,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
Y18D10A.19,chrI,+,12918708,12919265,-29.7,0.0,-29.0,2.0,26,59,29,20.0,22.0,Y18D10A.19,WBGene00001427,Sequence name for WBGene00001427(fkb-2). History: N.A.
Y54G2A.19,chrIV,-,2894167,2894705,-29.6,0.0,-24.0,2.7,22,50,18,19.0,20.0,Y54G2A.19,WBGene00021884,Public name for WBGene00021884. History: N.A.
Y39G10AR.13,chrI,-,2304513,2306817,-29.6,0.0,-24.0,1.8,50,114,62,21.0,21.0,Y39G10AR.13,WBGene00002047,Sequence name for WBGene00002047(icp-1). History: N.A.
F33C8.1b,chrX,+,14710395,14718699,-29.1,0.0,-28.4,3.0,14,32,10,20.0,19.0,,,
Y71H2B.11,chrIII,+,2605219,2606489,-29.1,0.0,-28.4,3.0,14,32,10,19.0,20.0,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
R06C7.1,chrI,+,7235382,7238787,-29.0,0.0,-28.3,2.7,16,36,13,21.0,21.0,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
R10F2.4,chrIII,+,2910960,2935547,-28.9,0.0,-28.3,1.7,36,82,48,20.0,21.0,R10F2.4,WBGene00019995,Public name for WBGene00019995. History: N.A.
Y23H5A.1a,chrI,+,2629686,2632310,-28.7,0.0,-28.2,1.5,55,125,86,20.0,21.0,Y23H5A.1a,WBGene00000801,Molecule name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
T09A5.10,chrII,+,7860523,7863493,-28.6,0.0,-28.1,1.8,30,68,37,20.0,22.0,T09A5.10,WBGene00002994,Sequence name for WBGene00002994(lin-5). History: N.A.
F54D10.3,chrII,+,3812299,3813339,-28.6,0.0,-28.1,1.8,30,68,37,20.0,21.0,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
F58G1.1,chrII,+,12919487,12923287,-28.5,0.0,-28.1,1.6,41,93,58,20.0,22.0,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
F09G2.2,chrV,+,7196897,7198416,-28.4,0.0,-28.0,2.3,19,43,18,20.0,21.0,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
F49B2.3,chrI,+,14310996,14312858,-28.4,0.0,0.0,12.4,5,11,0,20.0,,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
Y82E9BR.6,chrIII,+,1381435,1381617,-28.4,0.0,0.0,12.4,5,11,0,24.0,,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
C15H11.5,chrV,+,14417934,14420060,-28.1,0.0,-27.8,1.7,33,75,43,20.0,21.0,C15H11.5,WBGene00007615,Sequence name for WBGene00007615(set-31). History: Renamed on 2007-05-03
C53A5.13,chrV,+,14546900,14554519,-28.1,0.0,-27.8,4.0,10,23,5,19.0,20.0,C53A5.13,WBGene00008270,Public name for WBGene00008270. History: N.A.
Y71A12B.1,chrI,+,13952148,13953176,-28.1,0.0,-27.8,4.0,10,23,5,20.0,20.0,Y71A12B.1,WBGene00004475,Sequence name for WBGene00004475(rps-6). History: N.A.
T28D9.2c,chrII,+,6490109,6491296,-28.1,0.0,-27.8,3.1,13,30,9,21.0,22.0,,,
C39E9.12,chrIV,+,13093975,13095459,-27.9,0.0,-27.7,2.1,23,52,25,20.0,21.0,C39E9.12,WBGene00008035,Public name for WBGene00008035. History: N.A.
Y67D8C.6,chrIV,-,3062520,3063362,-27.8,0.0,-22.3,2.6,22,50,19,19.0,20.0,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
JC8.6b,chrIV,+,13241019,13243336,-27.4,0.0,-27.2,4.3,9,21,4,20.0,21.0,JC8.6b,WBGene00003037,Molecule name for WBGene00003037(lin-54). History: N.A.
M163.3,chrX,+,14490028,14491032,-27.3,0.0,-27.1,1.2,102,233,190,21.0,22.0,M163.3,WBGene00001898,Sequence name for WBGene00001898(his-24). History: Renamed on 2010-11-12
Y48G1C.1,chrI,+,93031,94881,-27.2,0.0,-27.1,1.7,31,71,40,20.0,21.0,Y48G1C.1,WBGene00021676,Sequence name for WBGene00021676(pid-2). History: Renamed on 2021-03-11
Y59A8B.1a,chrV,-,17936728,17948996,-27.2,0.0,-21.8,5.4,9,21,3,20.0,20.0,Y59A8B.1a,WBGene00001080,Molecule name for WBGene00001080(dpy-21). History: N.A.
W01G7.5,chrII,+,14063359,14065762,-27.0,0.0,-27.0,3.2,12,27,8,20.0,21.0,W01G7.5,WBGene00002275,Sequence name for WBGene00002275(lem-2). History: N.A.
D2096.6,chrIV,+,8366521,8375353,-27.0,0.0,-27.0,3.2,12,27,8,19.0,20.0,D2096.6,WBGene00017073,Public name for WBGene00017073. History: N.A.
D2045.2,chrIII,-,10452606,10460335,-27.0,0.0,-21.7,2.6,21,48,18,20.0,21.0,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
C18D11.4,chrIII,+,11826096,11830850,-26.8,0.0,-26.8,4.8,8,18,3,21.0,22.0,C18D11.4,WBGene00004705,Sequence name for WBGene00004705(rsp-8). History: N.A.
Y45G12B.1c,chrV,+,2698969,2707023,-26.8,0.0,0.0,7.3,6,14,1,24.0,23.0,,,
C47G2.5c,chrII,+,11297618,11301182,-26.6,0.0,-26.6,2.2,19,43,19,20.0,21.0,C47G2.5c,WBGene00008166,Molecule name for WBGene00008166(saps-1). History: N.A.
F45E12.3,chrII,+,7302041,7305688,-26.5,0.0,0.0,5.7,7,16,2,21.0,22.0,F45E12.3,WBGene00000839,Sequence name for WBGene00000839(cul-4). History: N.A.
F45D11.10,chrII,+,988743,991080,-26.5,0.0,0.0,5.7,7,16,2,21.0,23.0,F45D11.10,WBGene00018456,Sequence name for WBGene00018456(fbxc-39). History: N.A.
Y38H6C.5,chrV,+,20501892,20505396,-26.1,0.0,-26.2,2.3,17,39,16,19.0,19.0,Y38H6C.5,WBGene00012618,Sequence name for WBGene00012618(dct-10). History: N.A.
Y94H6A.10,chrIV,-,2709982,2710667,-26.1,0.0,-21.0,2.2,28,64,29,20.0,21.0,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
C09G5.7,chrII,+,10714836,10716260,-26.0,0.0,-26.1,3.3,11,25,7,19.0,21.0,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
F47G3.2,chrX,+,2382686,2384270,-25.7,0.0,-25.8,2.8,13,30,10,18.0,20.0,F47G3.2,WBGene00018577,Sequence name for WBGene00018577(asna-2). History: N.A.
Y46H3C.6,chrV,-,1697892,1699718,-25.5,0.0,-20.5,2.0,34,78,39,19.0,21.0,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
T07C4.3b,chrIII,+,10352048,10355008,-25.4,0.0,-25.6,1.8,27,62,34,21.0,22.0,T07C4.3b,WBGene00011560,Molecule name for WBGene00011560(T07C4.3). History: N.A.
T22B2.5,chrX,-,3909807,3911360,-25.4,0.0,-20.5,2.6,19,43,16,19.0,20.0,T22B2.5,WBGene00020669,Public name for WBGene00020669. History: N.A.
Y46G5A.4,chrII,-,12726868,12736784,-25.2,0.0,-20.5,1.6,56,128,77,20.0,21.0,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
F26G5.9,chrV,-,4958593,4963072,-25.2,0.0,-20.5,2.3,23,52,22,21.0,21.0,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
K09H11.11,chrV,-,5754654,5755542,-25.1,0.0,-20.5,1.9,35,80,41,19.0,20.0,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
Y65B4BR.4b,chrI,+,537125,542200,-25.0,0.0,-25.3,1.7,30,68,40,20.0,22.0,Y65B4BR.4b,WBGene00007009,Molecule name for WBGene00007009(wwp-1). History: N.A.
W04A4.5,chrI,+,13663472,13674946,-25.0,0.0,-25.3,3.4,10,23,6,20.0,22.0,W04A4.5,WBGene00012234,Sequence name for WBGene00012234(ints-4). History: N.A.
F13H10.5,chrIV,+,10991009,10994107,-25.0,0.0,-25.3,3.4,10,23,6,20.0,21.0,F13H10.5,WBGene00008776,Public name for WBGene00008776. History: N.A.
C04D8.1,chrIII,+,8494931,8518793,-25.0,0.0,-25.2,2.3,16,36,15,21.0,22.0,C04D8.1,WBGene00015418,Sequence name for WBGene00015418(pac-1). History: N.A.
F37H8.2,chrII,-,11171667,11175403,-25.0,0.0,-20.4,2.0,30,68,33,19.0,20.0,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
K07A12.2,chrI,-,8676662,8681312,-24.8,0.0,-20.3,2.0,33,75,38,20.0,21.0,K07A12.2,WBGene00010621,Sequence name for WBGene00010621(egg-6). History: N.A.
Y37H9A.2,chrI,+,13778886,13792152,-24.6,0.0,-25.0,2.5,14,32,12,20.0,22.0,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
C04A2.3c.1,chrII,+,6834959,6847844,-24.6,0.0,-25.0,2.5,14,32,12,21.0,22.0,C04A2.3c.1,WBGene00001194,Molecule name for WBGene00001194(egl-27). History: N.A.
F10E7.2,chrII,+,7122181,7124325,-24.6,0.0,-24.9,2.0,20,46,22,19.0,21.0,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
Y111B2A.13,chrIII,+,12624646,12625768,-24.6,0.0,-24.9,1.8,25,57,31,21.0,21.0,Y111B2A.13,WBGene00013736,Sequence name for WBGene00013736(gtf-2A2). History: N.A.
Y71A12B.11,chrI,+,13978417,13980110,-24.4,0.0,-24.8,2.2,17,39,17,19.0,21.0,Y71A12B.11,WBGene00013508,Public name for WBGene00013508. History: N.A.
F20G4.3,chrI,-,7926629,7934571,-24.3,0.0,-19.9,3.7,11,25,6,20.0,21.0,F20G4.3,WBGene00003777,Sequence name for WBGene00003777(nmy-2). History: N.A.
Y54G11A.14,chrII,+,14318061,14320820,-24.2,0.0,-24.7,1.7,27,62,35,20.0,21.0,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
F46F2.4,chrX,+,15257518,15258932,-24.2,0.0,-24.7,2.0,21,48,24,20.0,21.0,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
VM106R.1,chrII,+,10824218,10841346,-24.1,0.0,-24.6,3.6,9,21,5,20.0,22.0,VM106R.1,WBGene00014848,Public name for WBGene00014848. History: N.A.
C30A5.3,chrIII,+,8225016,8226292,-24.1,0.0,-24.6,3.6,9,21,5,20.0,23.0,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
Y71A12B.10,chrI,+,13957186,13960427,-24.0,0.0,-24.5,1.5,43,98,67,19.0,20.0,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
ZK1098.8,chrIII,-,9538932,9542256,-23.9,0.0,-19.7,2.7,17,39,14,19.0,21.0,ZK1098.8,WBGene00003504,Sequence name for WBGene00003504(mut-7). History: N.A.
H05L14.2,chrI,+,7980231,7993131,-23.9,0.0,-24.5,2.1,18,41,19,21.0,21.0,H05L14.2,WBGene00010367,"Public name for WBGene00010367. History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
H04J21.3a,chrIII,+,2347577,2362042,-23.9,0.0,-24.5,2.1,18,41,19,21.0,21.0,H04J21.3a,WBGene00001589,Molecule name for WBGene00001589(gip-1). History: N.A.
Y111B2A.14,chrIII,+,12626450,12651637,-23.9,0.0,-24.5,2.3,15,34,14,21.0,21.0,Y111B2A.14,WBGene00004161,Sequence name for WBGene00004161(pqn-80). History: N.A.
C14E2.2,chrX,-,1806750,1809538,-23.8,0.0,0.0,7.3,6,14,1,20.0,21.0,C14E2.2,WBGene00015771,Sequence name for WBGene00015771(got-1.3). History: N.A.
C06A8.5,chrII,+,7781509,7783277,-23.8,0.0,-24.5,1.5,39,89,59,21.0,22.0,C06A8.5,WBGene00015515,Sequence name for WBGene00015515(spdl-1). History: N.A.
Y37H9A.2,chrI,-,13779768,13781389,-23.7,0.0,-19.7,3.0,14,32,10,20.0,21.0,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
R07B7.2,chrV,-,12056590,12059725,-23.7,0.0,-19.7,3.0,14,32,10,20.0,21.0,R07B7.2,WBGene00011087,Public name for WBGene00011087. History: N.A.
F25D7.4b,chrI,-,10418225,10422467,-23.7,0.0,-19.7,3.0,14,32,10,20.0,20.0,,,
Y39B6A.33,chrV,+,19001921,19006676,-23.5,0.0,-24.2,2.6,13,30,11,20.0,21.0,Y39B6A.33,WBGene00012692,Public name for WBGene00012692. History: N.A.
D2005.4,chrI,+,7814983,7819199,-23.5,0.0,-24.2,2.6,13,30,11,21.0,22.0,D2005.4,WBGene00008399,"Public name for WBGene00008399. History: Split into D2005.7(WBGene00086551). History of WBGene00008399: Split into ""WBGene00086551"" on 2008-06-27"
Y116A8C.13,chrIV,+,16950024,16962759,-23.5,0.0,-24.2,2.9,11,25,8,26.0,22.0,Y116A8C.13,WBGene00013792,Sequence name for WBGene00013792(rad-54.B). History: N.A.
F57C9.5,chrI,+,4827073,4829769,-23.5,0.0,-24.2,2.0,19,43,21,20.0,21.0,F57C9.5,WBGene00002034,Sequence name for WBGene00002034(htp-3). History: N.A.
F39C12.1,chrX,-,4834866,4853035,-23.4,0.0,-19.5,4.3,9,21,4,20.0,20.0,F39C12.1,WBGene00018193,Public name for WBGene00018193. History: N.A.
Y77E11A.10,chrIV,-,1429565,1434983,-23.4,0.0,-19.5,4.3,9,21,4,19.0,21.0,Y77E11A.10,WBGene00000546,"Sequence name for WBGene00000546(clp-6). History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
F36D4.3c.1,chrV,+,9386127,9400035,-23.4,0.0,-24.2,1.3,55,125,93,21.0,21.0,F36D4.3c.1,WBGene00002036,Molecule name for WBGene00002036(hum-2). History: N.A.
C50F4.13,chrV,-,9544648,9545263,-23.2,0.0,0.0,5.7,7,16,2,20.0,22.0,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
ZK180.4,chrIV,-,4511889,4513314,-23.2,0.0,0.0,5.7,7,16,2,20.0,22.0,ZK180.4,WBGene00022678,Sequence name for WBGene00022678(sar-1). History: N.A.
C43H8.2,chrI,+,10622941,10624350,-23.2,0.0,-24.1,3.8,8,18,4,19.0,20.0,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
T22C1.11,chrI,+,7962046,7972420,-23.2,0.0,-24.1,3.8,8,18,4,20.0,22.0,T22C1.11,WBGene00011920,Public name for WBGene00011920. History: N.A.
Y108G3AL.7,chrV,+,185810,200687,-23.2,0.0,-24.1,3.8,8,18,4,20.0,21.0,Y108G3AL.7,WBGene00044689,Sequence name for WBGene00044689(arid-1). History: N.A.
F55C9.5,chrV,-,19290630,19290944,-23.2,0.0,-19.4,4.8,8,18,3,24.0,22.0,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
Y71F9B.8,chrI,-,2735346,2742509,-22.8,0.0,-19.1,1.9,32,73,38,19.0,20.0,Y71F9B.8,WBGene00022129,Sequence name for WBGene00022129(lron-11). History: N.A.
T21C12.1h,chrIII,+,10520560,10532582,-22.8,0.0,-23.8,1.6,31,71,44,19.0,20.0,T21C12.1h,WBGene00006784,Molecule name for WBGene00006784(unc-49). History: N.A.
Y73B6BL.38,chrIV,+,6421588,6423480,-22.8,0.0,-23.8,1.5,36,82,54,20.0,22.0,Y73B6BL.38,WBGene00022257,Sequence name for WBGene00022257(puf-11). History: N.A.
Y51H1A.4,chrII,+,13875941,13882484,-22.7,0.0,-23.7,2.1,17,39,18,21.0,21.0,Y51H1A.4,WBGene00013095,Sequence name for WBGene00013095(ing-3). History: N.A.
C34C12.5,chrIII,+,3471988,3473698,-22.7,0.0,0.0,10.1,4,9,0,20.0,,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
F48A11.1,chrII,+,203459,211920,-22.7,0.0,0.0,10.1,4,9,0,20.0,,F48A11.1,WBGene00000497,Sequence name for WBGene00000497(chs-2). History: N.A.
F09E5.15a,chrII,+,5378041,5379605,-22.5,0.0,-23.4,4.2,7,16,3,21.0,22.0,F09E5.15a,WBGene00006434,Molecule name for WBGene00006434(prdx-2). History: N.A.
D2089.2,chrII,+,10659129,10662229,-22.4,0.0,-23.4,3.0,10,23,7,20.0,21.0,D2089.2,WBGene00008433,Sequence name for WBGene00008433(marc-2). History: N.A.
Y17G9B.9,chrIV,-,4758975,4760419,-22.3,0.0,-18.7,2.7,15,34,12,21.0,21.0,Y17G9B.9,WBGene00003216,Sequence name for WBGene00003216(memi-1). History: Renamed on 2016-10-14
C50F2.10,chrI,+,3881830,3888315,-22.1,0.0,-23.1,2.2,15,34,15,20.0,20.0,C50F2.10,WBGene00000013,Sequence name for WBGene00000013(abf-2). History: N.A.
C23G10.4a,chrIII,+,6198846,6202539,-21.9,0.0,-23.0,1.5,36,82,55,21.0,21.0,C23G10.4a,WBGene00004459,Molecule name for WBGene00004459(rpn-2). History: N.A.
F22B5.7,chrII,+,8457749,8464448,-21.9,0.0,-23.0,1.5,35,80,53,21.0,21.0,F22B5.7,WBGene00006994,Sequence name for WBGene00006994(zyg-9). History: N.A.
T03F6.1,chrIII,+,13393783,13394837,-21.9,0.0,-23.0,1.6,29,66,41,19.0,20.0,T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
Y52B11A.10,chrI,+,11039049,11052465,-21.9,0.0,0.0,4.9,6,14,2,23.0,22.0,Y52B11A.10,WBGene00013129,Public name for WBGene00013129. History: N.A.
H04D03.1,chrIII,+,10436496,10437676,-21.9,0.0,0.0,4.9,6,14,2,19.0,20.0,H04D03.1,WBGene00010362,Sequence name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
R06C7.9a,chrI,+,7255509,7258698,-21.9,0.0,0.0,4.9,6,14,2,20.0,21.0,R06C7.9a,WBGene00011066,Molecule name for WBGene00011066(ztf-15). History: N.A.
Y110A2AL.4b,chrII,+,2839303,2840385,-21.9,0.0,0.0,4.9,6,14,2,20.0,21.0,Y110A2AL.4b,WBGene00022441,Molecule name for WBGene00022441(Y110A2AL.4). History: N.A.
F25H8.2,chrIV,+,9932207,9933851,-21.7,0.0,0.0,6.2,5,11,1,20.0,26.0,F25H8.2,WBGene00009132,Public name for WBGene00009132. History: N.A.
F44G4.1,chrII,+,8994556,8996189,-21.7,0.0,0.0,6.2,5,11,1,20.0,21.0,F44G4.1,WBGene00009711,Public name for WBGene00009711. History: N.A.
F42G8.4,chrIV,+,8139200,8143118,-21.7,0.0,0.0,6.2,5,11,1,21.0,19.0,F42G8.4,WBGene00004057,Sequence name for WBGene00004057(pmk-3). History: N.A.
T07E3.3,chrIII,+,6903832,6904971,-21.7,0.0,0.0,6.2,5,11,1,21.0,19.0,T07E3.3,WBGene00020314,Public name for WBGene00020314. History: N.A.
Y82E9BR.21,chrIII,+,1404782,1406220,-21.7,0.0,0.0,6.2,5,11,1,19.0,21.0,Y82E9BR.21,WBGene00022353,Sequence name for WBGene00022353(pals-18). History: N.A.
D2045.1b,chrIII,+,10461514,10467936,-21.6,0.0,-22.7,2.1,16,36,17,22.0,21.0,D2045.1b,WBGene00000231,Molecule name for WBGene00000231(atx-2). History: N.A.
T22F3.2b,chrV,+,3586637,3589002,-21.6,0.0,-22.7,2.1,16,36,17,21.0,21.0,T22F3.2b,WBGene00020695,Molecule name for WBGene00020695(T22F3.2). History: N.A.
F36D4.5b.2,chrV,-,9419268,9425735,-21.6,0.0,-18.0,3.3,11,25,7,20.0,19.0,F36D4.5b.2,WBGene00018090,Molecule name for WBGene00018090(F36D4.5). History: N.A.
F44A2.1a,chrV,+,9323184,9327182,-21.5,0.0,-22.7,2.4,13,30,12,20.0,21.0,F44A2.1a,WBGene00006499,Molecule name for WBGene00006499(tag-153). History: N.A.
M04B2.1,chrIV,+,11524612,11527926,-21.5,0.0,-22.7,1.4,42,96,68,21.0,22.0,M04B2.1,WBGene00003218,Sequence name for WBGene00003218(mep-1). History: N.A.
Y48G8AL.6,chrI,+,1176475,1189653,-21.3,0.0,-22.5,3.1,9,21,6,20.0,22.0,Y48G8AL.6,WBGene00004880,Sequence name for WBGene00004880(smg-2). History: N.A.
C01G12.1,chrII,+,14573519,14576421,-21.2,0.0,-22.5,2.6,11,25,9,19.0,22.0,C01G12.1,WBGene00007242,Sequence name for WBGene00007242(madf-5). History: N.A.
T07D4.4c,chrII,+,8884821,8889584,-21.2,0.0,-22.5,2.6,11,25,9,20.0,20.0,T07D4.4c,WBGene00011580,Molecule name for WBGene00011580(ddx-19). History: N.A.
W03D8.7,chrI,+,2796384,2797262,-21.2,0.0,-22.5,2.6,11,25,9,20.0,21.0,W03D8.7,WBGene00020988,Public name for WBGene00020988. History: N.A.
F22H10.4,chrX,-,16684331,16685624,-21.2,0.0,-17.7,2.2,20,46,20,19.0,19.0,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
Y55F3BR.8b,chrIV,-,849291,854780,-20.9,0.0,-17.6,3.4,10,23,6,20.0,21.0,Y55F3BR.8b,WBGene00021945,Molecule name for WBGene00021945(lem-4). History: N.A.
W03G1.3,chrIV,-,506750,519456,-20.9,0.0,-17.6,3.4,10,23,6,21.0,22.0,W03G1.3,,Sequence name for Suppressed gene WBGene00043537. Molecular name for Suppressed gene WBGene00043537. Public name for Suppressed gene WBGene00043537. History of WBGene00043537: Killed on 2004-10-04; Resurrected on 2005-09-09; Killed on 2011-01-21; Suppressed on 2013-07-30. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....[050610 pad] Automatic assignment of Sequence_name connection using info taken from Public_name tags....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K10E9.1,chrI,+,189654,202489,-20.9,0.0,-22.2,2.2,14,32,14,21.0,22.0,K10E9.1,WBGene00000227,"Public name for Dead gene WBGene00019634. History of WBGene00019634: Merged into ""WBGene00000227"" on 2012-06-25"
K10B2.5,chrII,-,6361138,6365255,-20.5,0.0,-17.3,2.1,21,48,22,21.0,22.0,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
T12G3.1.2,chrIV,+,12034222,12037021,-20.5,0.0,-21.8,1.2,75,171,142,20.0,21.0,,,
ZK381.4a,chrIV,-,6974426,6977302,-20.4,0.0,-17.3,2.5,15,34,13,21.0,21.0,ZK381.4a,WBGene00003992,Molecule name for WBGene00003992(pgl-1). History: N.A.
C24A1.2a,chrIII,+,688733,715834,-20.4,0.0,-21.7,2.4,12,27,11,20.0,21.0,C24A1.2a,WBGene00016029,Molecule name for WBGene00016029(elf-1). History: N.A.
Y48G1BM.8,chrI,-,248624,251580,-20.3,0.0,-17.3,1.8,33,75,42,19.0,20.0,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
F54D8.4,chrIII,-,5083167,5085250,-20.3,0.0,-17.3,3.6,9,21,5,21.0,21.0,F54D8.4,WBGene00000279,Sequence name for WBGene00000279(cah-1). History: N.A.
K08F11.3.4,chrIV,-,4706768,4710747,-20.3,0.0,-17.3,3.6,9,21,5,21.0,20.0,,,
F18E9.5a,chrX,+,8570990,8575383,-20.2,0.0,-21.6,3.2,8,18,5,20.0,21.0,F18E9.5a,WBGene00017571,Molecule name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
D2096.1,chrIV,+,8396645,8398419,-20.1,0.0,-21.6,1.3,50,114,87,20.0,21.0,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
K08E7.3,chrIV,+,12567825,12570574,-20.1,0.0,-21.6,1.7,23,52,31,20.0,21.0,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
F38B7.5,chrV,+,11554781,11558098,-20.1,0.0,-21.6,1.7,23,52,31,21.0,21.0,F38B7.5,WBGene00001110,Sequence name for WBGene00001110(duo-1). History: N.A.
C16C10.3,chrIII,-,4172307,4176132,-20.1,0.0,-17.2,1.7,34,78,44,20.0,21.0,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
Y71G12B.28,chrI,+,1829771,1832063,-20.1,0.0,-21.6,2.0,16,36,18,19.0,20.0,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
F26D2.3b,chrV,+,16407937,16410244,-20.1,0.0,-21.6,2.6,10,23,8,20.0,20.0,,,
W03G9.3,chrI,+,4959399,4961520,-20.1,0.0,-21.6,2.6,10,23,8,19.0,20.0,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
Y37A1B.1b,chrIV,+,14071515,14076710,-20.0,0.0,-21.6,1.6,24,55,33,20.0,21.0,Y37A1B.1b,WBGene00003085,Molecule name for WBGene00003085(ccar-1). History: Renamed on 2015-11-23
R144.7a,chrIII,-,5008901,5017613,-20.0,0.0,-17.2,2.8,12,27,9,21.0,22.0,R144.7a,WBGene00020097,Molecule name for WBGene00020097(larp-1). History: N.A.
