cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
F26F12.7,let-418,2188,832,2378,2292,4641,6224,"The let-418 gene encodes a homolog of Mi-2/CHD3, a component of the nucleosome remodeling and histone deacetylase (NURD) complex; LET-418 is similar to DNA helicases, homologous to human AIRE (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=607358"">OMIM:607358</a>, mutated in autoimmune polyendocrinopathy syndrome), and paralogous to CHD-3; with MEP-1, LET-418 is required to repress germline-specific genes in somatic cells, and also negatively regulates RAS-dependent postembryonic vulval development (via the synMuvB pathway); LET-418 and CHD-3 are redundantly required for specification of secondary cell fates in vulval development; LET-418 is expressed in all interphase nuclei throughout development; LET-418 is bound by MEP-1, and also interacts with HDA-1 and PIE-1; these interactions probably reflect repression of LET-418 by PIE-1 in the germline. ",Predicted helicase ,Mountain 5,91,13,4.15,153,7,6.47,176,8,24.43,10,0,13.0,43,0,47.89,647,537,0.86,1731,1755,0.93,1900,2214,0.84,1679,2408,0.86,740,747,0.61,322,855,0.46,F26F12.7,WBGene00002637,Sequence name for WBGene00002637(let-418). History: N.A.
C10H11.9,let-502,579,135,1070,1110,2589,5285,"let-502 encodes a Rho-binding Ser/Thr kinase orthologous to human myotonic dystrophy kinase (DM-kinase); let-502 is required for early embryonic cleavages, embryonic elongation, migration of hypodermal P cells to a ventral position, normal spermathecal contraction, and fertility; LET-502 is required for hypodermal cells to properly change their shape, and is expressed in those cells, during embryonic elongation; let-502 mutations are suppressed by mel-11 mutations, and the pattern of LET-502 expression in the embryonic epidermis and the spermatheca is opposite to that of MEL-11, indicating that LET-502 and MEL-11 have opposing functions (presumably tissue contraction and relaxation); MEL-11 requires LET-502 (along with the nonmuscle myosin NMY-1) for proper localization. ","Rho-associated, coiled-coil containing protein kinase ",Mountain 9,229,18,7.64,523,14,11.75,444,25,21.26,126,26,5.56,175,5,31.93,358,248,1.03,712,862,0.78,1130,1923,0.58,935,2035,0.57,333,605,0.34,191,722,0.32,C10H11.9,WBGene00002694,Sequence name for WBGene00002694(let-502). History: Renamed on 2015-03-05
ZK792.6,let-60,213,82,316,161,215,376,"let-60 encodes a member of the GTP-binding RAS protooncogene family; let-60 activity is required for viability, vulval development, spicule development, germ line meiotic progression, posterior development of the hypodermis, chemotaxis, sex myoblast migration, and muscle membrane extension; let-60 acts genetically downstream of let-23 with respect to vulval development and upstream of the MAPK pathway with respect to chemotaxis; let-60 is expressed in neural, muscle, and hypodermal lineages. ",Ras-related GTPase ,Mountain 1,58,6,5.32,138,3,11.68,175,5,36.43,25,0,30.72,49,7,6.8,69,50,0.98,247,111,2.08,82,144,0.56,74,152,0.61,40,29,0.85,19,51,0.46,ZK792.6,WBGene00002335,Sequence name for WBGene00002335(let-60). History: N.A.
F58G11.1b,letm-1,1005,261,990,1112,2285,3970,,Ca2+-binding transmembrane protein LETM1/MRS7 ,Mountain 5,139,7,11.04,207,3,17.48,219,3,68.31,32,0,38.99,153,4,33.52,239,227,0.75,751,885,0.8,886,1422,0.61,813,1466,0.69,411,633,0.4,175,449,0.47,F58G11.1b,WBGene00010279,Molecule name for WBGene00010279(letm-1). History: N.A.
ZK662.4,lin-15B,162,21,231,119,550,333,"lin-15B encodes a novel protein that contains a THAP domain, a zinc-coordinating, site-specific DNA-binding domain; lin-15B was first identified as a class B synMuv gene that acts redundantly with lin-15A to negatively regulate the outcome of Ras signaling during vulval cell fate specification; subsequently, lin-15B has been shown to also negatively regulate progression through the G1 phase of the cell cycle and RNA-mediated interference (RNAi). ",Tam3-transposase (Ac family) ,Mountain ,169,20,5.11,168,7,7.1,1406,20,83.21,54,1,32.49,215,0,235.09,71,25,1.98,160,94,1.6,223,122,1.79,178,124,1.77,106,47,1.38,43,40,1.29,ZK662.4,WBGene00023497,Sequence name for WBGene00023497(lin-15B). History: N.A.
K10B2.1,lin-23,307,59,369,349,820,1020,"lin-23 encodes an F-box- and WD-repeat-containing protein orthologous to Saccharomyces cerevisiae MET30 and human beta TRCP (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=603482"">OMIM:603482</a>), both components of the SCF (Skp1, Cullin, F-box) ubiquitin-ligase complex that regulates ubiquitin-mediated protein degradation; LIN-23 negatively regulates postembryonic cell divsions in all tissue types, and specifically, has been shown to function cell autonomously in the vulva to negatively regulate cell cycle progression and allow for cell cycle exit; LIN-23 also functions cell autonomously in some neurons to regulate neurite outgrowth; LIN-23 expression is first detected broadly during gastrulation, with expression continuing postembryonically in body wall and enteric muscle, hypodermal cells, and many but not all neurons; LIN-23 localizes to the cytoplasm. ",Beta-TrCP (transducin repeats containing)/Slimb proteins ,Mountain 5,37,3,6.0,95,0,32.28,82,3,25.77,41,1,24.81,42,2,15.6,107,59,1.28,262,290,0.85,335,372,0.88,271,413,0.81,128,90,0.88,86,145,0.72,K10B2.1,WBGene00003009,Sequence name for WBGene00003009(lin-23). History: N.A.
T09A5.10,lin-5,574,215,652,874,2554,4006,"lin-5 encodes a novel protein with a centrally located alpha-helical coiled-coil domain and ten potential proline-directed kinase phosphorylation sites; LIN-5 activity is required for mitosis and cytokinesis at all stages of development and specifically, for spindle positioning, chromosome alignment and segregation, and perhaps also for blocking exit from mitosis when chromosome segregation fails; LIN-5, which is expressed maternally, embryonically, and during larval stages, localizes to the cell periphery and, in a microtubule-dependent manner, to the meiotic spindle and the asters and kinetochore microtubules of the mitotic spindle; in regulating spindle function, LIN-5 interacts with two G protein regulators, GPR-1 and GPR-2, which require LIN-5 activity for localization to the spindle and cell cortex; additionally, LIN-5 interacts in vitro with itself, the coiled-coil protein LFI-1, GEI-16, and several other novel proteins; genetic studies indicate that in regulating embryonic spindle function, lin-5 acts downsteam of par-2, par-3, mes-1, and src-1 and upstream of gpr-1, gpr-2, goa-1, and gpa-16. ",Unnamed protein ,Mountain 11,146,21,4.22,200,8,7.51,299,11,31.05,13,1,8.27,159,4,34.83,195,214,0.65,457,660,0.65,1134,1738,0.64,974,1672,0.72,216,285,0.47,230,311,0.89,T09A5.10,WBGene00002994,Sequence name for WBGene00002994(lin-5). History: N.A.
ZK637.7a,lin-9,110,62,174,141,464,873,"lin-9 encodes two novel proteins that are conserved amongst C. elegans, Drosophila, plants, and vertebrates; lin-9 activity is required redundantly with activity of the synMuv A genes, such as lin-8, for negative regulation of the RTK/Ras-mediated signal transduction pathway that controls vulval development; in addition, lin-9 activity is required non-redundantly for hermaphrodite gonadal sheath cell development (and thus, reproduction), as well as for development of the male reproductive system including the male sensory rays and spicules. ",Retinoblastoma pathway protein LIN-9/chromatin-associated protein Aly ,Mountain 11,74,4,9.47,131,1,22.19,225,3,70.17,19,0,23.63,126,0,138.22,25,29,0.62,149,112,1.25,186,326,0.56,135,383,0.44,90,66,0.84,53,98,0.66,ZK637.7a,WBGene00002998,Molecule name for WBGene00002998(lin-9). History: N.A.
DY3.2,lmn-1,1562,574,1407,1338,2915,6124,"lmn-1 encodes the sole C. elegans nuclear lamin; lmn-1 is an essential gene that is required for a number of nuclear processes, including chromatin organization, cell cycle progression, chromosome segregation, and nuclear pore complex spacing; LMN-1 is also required for nuclear envelope localization of EMR-1/Emerin during early development; LMN-1 localizes to the nuclear periphery of all cell types except sperm, and in embryonic and some adult cells is visible in the nuclear interior; LMN-1 binds mitotic chromosomes and histone H2A in a manner that requires its predicted nuclear localization signal, KRRR. ","Nuclear envelope protein lamin, intermediate filament superfamily ",Mountain 30,187,6,16.95,385,12,9.98,300,1,186.91,53,7,7.97,93,1,51.15,427,304,1.0,980,1034,0.89,1255,2402,0.51,1073,2473,0.54,349,479,0.45,238,770,0.37,DY3.2,WBGene00003052,Sequence name for WBGene00003052(lmn-1). History: N.A.
R13A5.12,lpd-7,1410,829,2060,1709,2253,2113,"lpd-7 encodes a BRCT domain-containing protein that is orthologous to Saccharomyces cerevisiae Nop7p and the vertebrate pescadillo proteins required for nucleolar assembly, ribosome biogenesis, and cell proliferation; loss of lpd-7 activity via RNAi indicates that, in C. elegans, LPD-7 is required for fat storage and for larval growth and development; based upon its similarity to the yeast and vertebrate proteins, LPD-7 is predicted to localize to the nucleolus. ",Protein required for normal rRNA processing ,Mountain ,66,8,4.7,119,10,3.67,162,3,50.61,44,1,26.58,46,1,25.58,603,384,1.12,1457,1325,1.04,798,748,1.05,734,869,1.04,465,245,1.17,256,251,1.23,R13A5.12,WBGene00003063,Sequence name for WBGene00003063(lpd-7). History: N.A.
Y37A1B.1b,lst-3,454,239,510,473,963,941,,"Predicted DNA-binding protein, contains SAP domain ",Mountain 5,76,7,6.07,123,0,41.69,60,11,6.31,18,0,22.45,34,0,38.09,157,113,0.99,353,360,0.92,385,383,0.99,322,377,1.06,167,90,1.14,89,91,1.18,Y37A1B.1b,WBGene00003085,Molecule name for WBGene00003085(ccar-1). History: Renamed on 2015-11-23
M106.4b,M106.4,442,249,720,727,871,1497,"M106.4 is orthologous to human GUANINE MONOPHOSPHATE SYNTHETASE (GMPS; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=600358"">OMIM:600358</a>), a partner gene of MLL in treatment-related acute myeloid leukemia with the karyotype t(3;11)(q25;q23). ",GMP synthase ,Mountain 5,98,3,15.62,202,1,34.13,190,0,237.21,32,1,19.49,47,8,5.8,229,140,1.16,491,587,0.79,363,607,0.59,298,556,0.66,120,177,0.42,90,157,0.69,M106.4b,WBGene00010912,Molecule name for WBGene00010912(gmps-1). History: N.A.
M176.2,M176.2,259,65,365,230,293,555,"M176.2 is orthologous to the human gene GLUTATHIONE SYNTHETASE (GSS; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=601002"">OMIM:601002</a>), which when mutated leads to 5-oxoprolinuria, or to GSS deficiency restricted to erythrocytes and associated only with hemolytic anemia. ",Glutathione synthetase ,Mountain 20,46,6,4.24,83,0,28.24,112,1,70.17,38,5,7.68,81,0,89.25,116,58,1.41,249,172,1.36,136,218,0.61,73,229,0.4,46,45,0.63,38,63,0.74,M176.2,WBGene00010941,Sequence name for WBGene00010941(gss-1). History: N.A.
R09B3.5,mag-1,268,41,246,223,480,569,,"Exon-exon junction complex, Magoh component ", ,80,6,7.3,125,1,21.18,248,9,30.92,12,0,15.36,68,0,75.1,83,70,0.84,163,153,1.0,171,205,0.82,138,234,0.73,83,72,0.71,88,58,1.82,R09B3.5,WBGene00003123,Sequence name for WBGene00003123(mag-1). History: N.A.
K10B3.9,mai-1,2731,1073,2962,1932,1487,1242,"mai-1 is homologous to mitochondrial intrinsic ATPase inhibitor protein (IF(1)), which blocks reverse action (ATP hydrolysis) by F(0)F(1)-ATPase when its (normally required) proton gradient is lost; MAI-1 lacks an obvious mitochondrial import signal at its N-terminus, and is not transported to yeast mitochondria; MAI-1 may be cytosolic in vivo, regulating cytosolic ATPase(s); MAI-1 can inhibit yeast F(0)F(1)-ATPase, but this inhibition is pH-independent; MAI-1's tertiary structure is dominated by beta-strands and random loops; mai-1 exists as the upstream gene in an operon with gpd-2 and gpd-3. ",ATPase inhibitory factor ,Mountain 27,52,5,5.57,123,10,3.79,799,169,5.84,89,23,4.43,285,26,11.53,987,851,0.83,1975,1081,1.72,670,512,1.28,523,488,1.32,150,107,0.86,144,135,1.29,K10B3.9,WBGene00003124,Sequence name for WBGene00003124(mai-1). History: N.A.
W10C6.1,mat-2,269,81,464,737,1206,3603,mat-2 encodes a subunit of the anaphase-promoting complex or cyclosome (APCC) which is a multi-subunit E3 ubiquitin ligase that targets proteins for degradation during the metaphase-to-anaphase transition of the cell cycle; mat-2 is required for chromosome segregation during meiosis I and is involved in polarity specification of the anterior/posterior axis in the developing embryo. ,,Mountain 2,229,25,5.58,287,11,8.07,275,8,38.09,27,0,33.08,116,6,18.19,117,173,0.48,347,564,0.58,538,1484,0.36,443,1567,0.35,145,198,0.45,80,354,0.28,W10C6.1,WBGene00003133,Sequence name for WBGene00003133(apc-1). History: Renamed on 2022-01-03
H19N07.2b,math-33,628,140,1337,589,1245,1850,The H19N07.2 gene encodes a protein with a meprin-associated Traf homology (MATH) domain that may be involved in apoptosis. ,Ubiquitin carboxyl-terminal hydrolase ,Mountain 5,61,10,3.56,187,5,10.54,167,13,14.9,32,2,13.0,41,9,4.57,429,182,1.68,908,407,2.1,441,713,0.61,388,786,0.61,243,149,1.01,173,202,1.03,H19N07.2b,WBGene00010406,Molecule name for WBGene00010406(math-33). History: N.A.
Y67D8C.10b,mca-3,3026,1323,2590,2350,1700,2329,"mca-3 encodes one of three C. elegans plasma membrane Ca2+ ATPases (PMCAs); by homology, MCA-3 is predicted to function as a molecular pump that couples ATP hydrolysis to extrusion of cytosolic Ca2+; mca-3 activity is required for coelomoycte endocytosis, normal coordinated locomotion, and embryonic and larval development; in regulating endocytosis, MCA-3 is required specifically in the early stages for recruitment of the endocytic machinery to the plasma membrane; an mca-3::gfp reporter is expressed from embryogenesis through adulthood and seen in body wall muscle, the nervous system, intestine, and coelomocytes; in coelomocytes, an MCA-3::GFP fusion protein localizes to the plasma membrane. ",Calcium transporting ATPase ,Mountain 1,53,7,4.26,92,9,3.13,212,26,9.8,26,9,3.19,36,8,4.47,913,655,0.99,1677,1695,0.93,754,927,0.8,659,942,0.87,172,249,0.43,115,211,0.66,Y67D8C.10b,WBGene00003153,Molecule name for WBGene00003153(mca-3). History: Renamed on 2007-10-09
C25D7.6,mcm-3,155,51,318,333,2319,1983,"mcm-3 encodes a member of the MCM2/3/5 family with similarity to human DNA replication licensing factor, MCM3, and affects embryonic viability. ","DNA replication licensing factor, MCM3 component ",Mountain 11,100,11,5.31,140,2,15.8,194,1,121.09,43,0,51.98,71,0,78.36,88,86,0.73,230,247,0.88,900,789,1.12,722,871,1.02,432,135,1.97,265,188,1.7,C25D7.6,WBGene00003155,Sequence name for WBGene00003155(mcm-3). History: N.A.
F32D1.10,mcm-7,113,51,263,367,1958,2540,,"DNA replication licensing factor, MCM7 component ",Mountain 11,231,9,14.64,446,8,16.7,436,5,90.46,16,0,20.08,131,0,143.66,69,92,0.54,194,275,0.67,849,1068,0.78,644,1064,0.75,243,163,0.92,222,245,1.09,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
C05D11.11b,mel-32,2827,450,3684,4023,4434,6492,"mel-32 encodes a serine hydroxymethyltransferase; by homology, MEL-32 is predicted to catalyze the biochemical reaction that converts serine to glycine and in the process transfers a methyl group to tetrahydrofolate and, thus, into the one-carbon pool used for a variety of cellular metabolic processes; in C. elegans MEL-32 activity is required maternally for embryonic development past the 100-cell stage. ", ,Mountain 5,121,7,9.62,223,0,75.32,185,3,57.75,54,7,8.12,118,0,129.51,1087,796,0.97,2597,3227,0.76,1855,2367,0.77,1504,2408,0.77,687,677,0.63,388,1040,0.45,C05D11.11b,WBGene00003214,Molecule name for WBGene00003214(mel-32). History: N.A.
C09G4.5,mes-6,84,17,149,323,545,1394,"mes-6 encodes a WD repeat-containing protein that is orthologous to Drosophila Extra sex combs (Esc); as a member of a Polycomb-like chromatin repressive complex with MES-2 and MES-3, MES-6 is required maternally for normal germline development and during larval development, for anteroposterior patterning; during germline development, the MES-2/MES-3/MES-6 complex is believed to be essential for maintaining repression of the X chromosome, and in transgenic animals, the complex is necessary for germline repression of repetitive transgenes; in axial patterning, the MES-2/MES-3/MES-6 complex is required in somatic tissues for maintaining homeotic gene repression, acting upstream of the Hox genes lin-39, mab-5, and egl-5, as well as the egl-5 target gene lin-32; MES-6 expression is detected in the nuclei of all cells during early embryogenesis, in the germline precursors Z2 and Z3 and faintly in some somatic cells during late embryogenesis and the L1 larval stage, widely in later larvae, and in germline and oocyte nuclei in adults; normal MES-6 distribution is dependent upon wild-type activity of MES-2 and MES-3, and likewise, distribution of MES-3 is dependent upon wild-type activity of MES-2 and MES-6 ","Transcriptional repressor EED/ESC/FIE, required for transcriptional silencing, WD repeat superfamily ",Mountain 7,84,8,5.96,217,10,6.66,248,8,34.36,20,0,24.81,82,0,90.33,33,52,0.46,116,271,0.4,265,558,0.47,177,497,0.44,55,143,0.24,48,196,0.3,C09G4.5,WBGene00003224,Sequence name for WBGene00003224(mes-6). History: N.A.
ZC155.3,morc-1,169,98,369,730,1054,2410,,MORC family ATPases ,Mountain 2,671,29,14.14,964,20,15.45,809,9,100.6,44,0,53.17,230,4,50.28,65,165,0.28,304,565,0.51,372,923,0.4,320,1088,0.36,260,160,1.0,102,239,0.52,ZC155.3,WBGene00022531,Sequence name for WBGene00022531(morc-1). History: N.A.
F21G4.2,mrp-4,363,133,247,548,2323,7568,"mrp-4 encodes a putative member of subfamily C of the ATP-binding cassette transporters; MRP-4 is required, redundantly with its paralog WHT-2, for sperm to normally migrate towards a PUFA-based signal exuded by oocytes; hermaphrodites subjected to double wht-2(RNAi) mrp-4(RNAi) are infertile, both through aberrant loss of their own sperm and through failure of males to effectively inseminate them; in mammalian eicosanoid signalling, subfamily C ABC transporters are required for PUFA and eicosanoid transport. ","Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily ",Mountain 11,79,15,3.16,135,10,4.16,133,3,41.61,33,7,5.02,93,4,20.46,86,68,0.9,161,480,0.32,972,2800,0.34,828,2877,0.36,297,933,0.2,226,958,0.29,F21G4.2,WBGene00003410,Sequence name for WBGene00003410(mrp-4). History: N.A.
F58B3.5,mrs-1,885,423,797,980,1605,2304,"mrs-1 encodes a predicted cytoplasmic methionyl-tRNA synthetase (MetRS), a class I aminoacyl-tRNA synthetase that catalyzes the attachment of methionine to its cognate tRNA and is thus required for protein biosynthesis; MRS-1 is essential for embryogenesis and required also for a normal rate of postembryonic growth. ",Methionyl-tRNA synthetase ,Mountain 5,63,4,8.08,142,0,48.08,106,0,132.89,11,0,14.18,23,0,26.12,257,187,0.98,540,793,0.64,668,927,0.71,568,949,0.74,209,219,0.59,160,209,0.93,F58B3.5,WBGene00003415,Sequence name for WBGene00003415(mars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-25
C14C11.6,mut-14,40,9,89,139,211,421,"mut-14 mutants exhibit germline transposon activation, a deficient response to RNAi, resistance to co-suppression, and transgene desilencing. ",ATP-dependent RNA helicase ,Mountain 7,121,6,11.0,232,1,39.17,322,1,200.58,27,2,11.03,93,0,102.31,11,32,0.26,78,107,0.69,75,201,0.37,54,173,0.39,56,20,1.68,26,27,1.16,C14C11.6,WBGene00003507,Sequence name for WBGene00003507(mut-14). History: N.A.
B0379.3a,mut-16,71,70,273,209,705,917,"mut-16 encodes a glutamine/asparagine (Q/N)-rich domain-containing protein that lacks obvious homologs outside of other nematode species; MUT-16 activity is required for RNA-mediated interference (RNAi), transgene silencing in germ-line and somatic tissues, and for maintaining low levels of transposon mobilization; MUT-16 is thus predicted to play a role in chromatin organizataion and/or regulation of gene expression. ",,Mountain 5,103,11,5.47,189,3,15.97,198,2,82.38,16,0,20.08,55,1,30.47,34,57,0.43,239,152,1.48,298,363,0.81,242,406,0.74,107,59,1.11,58,89,0.79,B0379.3a,WBGene00003508,Molecule name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
ZK112.2,ncl-1,848,243,985,667,774,1367,"ncl-1 encodes a cytoplasmic B-box zinc finger protein that negatively regulates rRNA and 5S RNA transcription, nucleolus size, and body size; NCL-1 is orthologous to Drosophila BRAIN TUMOR (BRAT), and ncl-1 mutants can be rescued by brat transgenes; NCL-1 is required for the normally small size of neuronal, muscle, and hypodermal nucleoli, and is already active in 4-cell embryos; NCL-1 may be a repressor of RNA polymerase I and III transcription and an inhibitor of cell growth, based on mutant analysis; ncl-1 animals have much larger neuronal nucleoli than normal, somewhat larger muscle and hypodermal nucleoli, but essentially normal intestinal and germline nucleoli (the last of which are large even in wild-type animals); conversely, intestinal and germline cells have the lowest amounts of NCL-1 protein; ncl-1 animals are 9% larger, have 22% more protein and twice as much rRNA, and transcribe rRNA twice as much as wild-type worms; ncl-1 functions cell autonomously, and ncl-1 mutations suppress the tumorous germline phenotype of pro-1(na48) mutants. ",Predicted E3 ubiquitin ligase ,Mountain 1,91,2,19.35,186,5,10.48,401,41,11.89,55,0,66.16,86,5,15.78,336,248,0.97,649,419,1.46,336,558,0.59,322,624,0.64,53,73,0.45,63,112,0.68,ZK112.2,WBGene00003559,Sequence name for WBGene00003559(ncl-1). History: N.A.
C01H6.5b,nhr-23,265,83,184,117,128,502,"The nhr-23 gene encodes a nuclear hormone receptor homolog that is required in all larval molts; NHR-23 is highly similar to Drosophila DHR3, an ecdysone-inducible gene product involved in metamorphosis; NHR-23 is required for hypodermal expression of acn-1 and, probably, of dpy-7. ",Steroid hormone nuclear receptor ,Mountain ,76,14,3.24,151,16,3.01,517,42,14.96,88,14,7.01,235,12,19.76,31,55,0.41,153,62,2.3,45,212,0.21,47,205,0.29,10,42,0.16,26,43,0.74,C01H6.5b,WBGene00003622,Molecule name for WBGene00003622(nhr-23). History: Renamed on 2015-03-05
Y40B10A.8,nhr-86,87,114,138,141,381,505,,Hormone receptors ,Mountain 21,95,6,8.65,169,2,19.05,242,4,60.36,40,0,48.44,47,0,52.24,64,26,1.72,74,115,0.61,161,205,0.77,79,162,0.61,80,56,0.88,61,82,0.9,Y40B10A.8,WBGene00003676,Sequence name for WBGene00003676(nhr-86). History: N.A.
Y37A1C.1a,nkcc-1,209,74,284,388,442,945,"The Y37A1C.1 gene encodes a homolog of the human gene NKCC2, which when mutated leads to hypokalemicalkalosis (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=241200"">OMIM:241200</a>); the Y37A1C.1A protein is predicted to be mitochondrial with 52% accuracy. ",Na+/K+ symporter ,Mountain 5,55,5,5.89,200,12,5.2,156,8,21.67,35,3,10.63,55,4,12.19,65,67,0.69,219,321,0.64,187,379,0.49,161,411,0.49,56,59,0.59,38,96,0.49,Y37A1C.1a,WBGene00012543,Molecule name for WBGene00012543(nkcc-1). History: N.A.
F53F10.5,npp-11,95,73,162,96,403,516,,"Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116) ",Mountain 5,62,5,6.63,69,6,3.36,162,1,101.22,19,0,23.63,26,7,3.67,45,46,0.7,117,50,2.18,184,225,0.8,126,239,0.65,40,26,0.94,53,26,2.41,F53F10.5,WBGene00003797,Sequence name for WBGene00003797(npp-11). History: N.A.
R06F6.5b,npp-19,62,34,98,68,238,500,,Mitotic phosphoprotein ,Mountain 11,65,7,5.21,134,3,11.35,183,4,45.7,54,5,10.83,40,2,14.87,23,25,0.66,75,43,1.63,95,214,0.44,86,223,0.48,33,26,0.78,24,37,0.79,R06F6.5b,WBGene00003805,Molecule name for WBGene00003805(npp-19). History: N.A.
K12D12.2,npp-3,779,349,884,714,1861,1572,"npp-3 encodes a nucleoporin that is a homolog of vertebrate Nup205; npp-3 is required for normal nuclear pore complex distribution in the nuclear envelope, nuclear exclusion of large non-nuclear macromolecules, chromatin condensation, proper mitotic spindle orientation, early embryonic viability, body integrity, and locomotion. ",Uncharacterized conserved protein ,Mountain 17,218,20,6.58,497,7,20.93,185,10,21.0,44,2,17.72,128,9,14.04,303,155,1.39,581,559,0.98,813,651,1.22,668,637,1.3,216,91,1.46,164,193,1.03,K12D12.2,WBGene00003789,Sequence name for WBGene00003789(npp-3). History: N.A.
Y54E5A.4,npp-4,119,94,221,193,554,547,,"Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116) ",Mountain 11,82,7,6.55,284,2,31.94,131,3,40.98,30,0,36.62,42,1,23.4,51,48,0.76,170,145,1.1,227,213,1.04,156,254,0.76,85,41,1.27,86,39,2.62,Y54E5A.4,WBGene00003790,Sequence name for WBGene00003790(npp-4). History: N.A.
F07A11.3,npp-5,158,96,264,236,841,962,,"Nuclear pore complex, rNup107 component (sc Nup84) ",Mountain 11,59,7,4.73,142,5,8.01,152,5,31.67,36,0,43.71,29,0,32.65,88,53,1.18,176,183,0.91,350,347,0.99,269,380,0.88,139,96,0.89,83,139,0.72,F07A11.3,WBGene00003791,Sequence name for WBGene00003791(npp-5). History: Renamed on 2007-03-15
T19B4.2,npp-7,326,122,422,329,1021,1945,,"Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116) ",Mountain 5,130,7,10.33,294,9,9.92,254,10,28.79,31,4,7.56,82,2,30.11,86,101,0.61,336,228,1.39,415,784,0.52,386,893,0.54,116,123,0.58,104,145,0.87,T19B4.2,WBGene00003793,Sequence name for WBGene00003793(npp-7). History: N.A.
Y41D4B.19b,npp-8,533,215,534,664,1581,1237,,"Nuclear pore complex, Nup155 component (D Nup154, sc Nup157/Nup170) ",Mountain 3,97,10,5.62,177,5,9.98,314,30,12.62,32,11,3.25,94,14,6.89,193,101,1.36,341,563,0.57,733,473,1.52,554,433,1.58,166,144,0.71,128,187,0.83,Y41D4B.19b,WBGene00003794,Molecule name for WBGene00003794(npp-8). History: N.A.
M02B7.3b,osm-3,85,16,49,11,45,16,"osm-3 encodes a kinesin-2 family member that forms a homodimeric kinesin motor protein; OSM-3, in conjunction with the heterotrimeric kinesin-II composed of KLP-20, KLP-11, and KAP-1, is required for intraflagellar transport (IFT) along the middle segment of the cilia and on its own, is required for IFT along the distal segment; OSM-3 is thus also required for formation of the distal segment of amphid channel cilia, responses to osmotic stimuli, dauer formation, and sensitivity to caffeine; OSM-3 is intensely localized in the ciliated endings of amphid, inner labial, and phasmid chemosensory neurons and shows a punctate localization pattern in the corresponding cell bodies and dendrites. ", ,Mountain 14,148,324,0.29,159,395,0.14,352,2520,0.17,28,120,0.28,225,1014,0.24,27,3,4.99,22,8,2.41,15,4,3.14,16,4,4.2,10,4,1.36,4,4,1.21,M02B7.3b,WBGene00003884,Molecule name for WBGene00003884(osm-3). History: N.A.
F48E8.5,paa-1,1077,456,1288,1219,2388,2681,"paa-1 encodes a homolog of PR65, the structural subunit of protein phosphatase 2A (PP2A); PAA-1 protein is bound by SMG-5; PAA-1 is required in mass RNAi assays for embryonic viability, fertility, and cuticular integrity. ",Protein phosphatase 2A regulatory subunit A and related proteins ,Mountain 30,45,1,14.51,75,1,12.78,49,0,62.1,13,0,16.54,32,0,35.92,366,364,0.72,922,855,1.02,960,1075,0.88,737,1136,0.8,471,224,1.3,220,246,1.08,F48E8.5,WBGene00003901,Sequence name for WBGene00003901(paa-1). History: N.A.
C04D8.1,pac-1,457,215,441,293,474,874,"pac-1 encodes a RhoGAP (Rho guanosine triphosphatase (GTPase) activating protein); in the embryo, PAC-1 is essential for establishment of radial (inner-outer) asymmetry and specifically, for differential localization of PAR-6, PAR-3, and PKC-3 to outer somatic cell surfaces devoid of cell-cell contacts; in regulating PAR protein localization, PAC-1 appears to act by spatially regulating activity of the CDC-42 Rho GTPase which can bind PAR-6 and is required, genetically, for PAR-6 localization to the outer cell surface; a PAC-1::GFP fusion protein expressed in the early embryo and in cultured embryos localizes to points of cell-cell contact. ",,Mountain 5,67,13,3.07,198,16,3.94,265,51,6.35,56,6,9.62,122,3,33.47,94,87,0.77,347,206,1.58,196,339,0.57,154,366,0.52,78,95,0.51,46,74,0.76,C04D8.1,WBGene00015418,Sequence name for WBGene00015418(pac-1). History: N.A.
