# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
M18.5,31.0,66.0,CE23880 WBGene00010890 locus:ddb-1 DNA repair protein like status:Confirmed TR:Q21554 protein_id:CAA92824.2,M18.5,WBGene00010890,Sequence name for WBGene00010890(ddb-1). History: N.A.
T22F3.3a,26.0,55.0,CE24003 WBGene00020696 status:Confirmed TR:Q9N5U1 protein_id:AAK72092.1,T22F3.3a,WBGene00020696,Molecule name for WBGene00020696(pygl-1). History: N.A.
F48E8.5,9.0,19.0,CE30997 WBGene00003901 locus:paa-1 Protein phosphatase 2A status:Confirmed SW:Q09543 protein_id:AAC46541.2,F48E8.5,WBGene00003901,Sequence name for WBGene00003901(paa-1). History: N.A.
F01F1.12a,32.0,67.0,CE01225 WBGene00017166 Fructose-biphosphate aldolase status:Confirmed SW:P46563 protein_id:AAC46646.1,,,
F44F4.11,59.0,121.0,CE18680 WBGene00006530 locus:tba-4 tubulin alpha-2 chain status:Partially_confirmed TR:Q20409 protein_id:CAA19476.1,F44F4.11,WBGene00006530,Sequence name for WBGene00006530(tba-4). History: N.A.
W05G11.6a,20.0,41.0,CE19610 WBGene00021043 phosphoenolpyruvate carboxykinase status:Confirmed TR:O44906 protein_id:AAC71149.1,,,
T28D6.2,24.0,49.0,CE16521 WBGene00006533 locus:tba-7 tubulin alpha subunit status:Confirmed TR:O18154 protein_id:CAB03447.1,T28D6.2,WBGene00006533,Sequence name for WBGene00006533(tba-7). History: N.A.
C05E4.9b,29.0,59.0,CE32565 WBGene00001564 locus:gei-7 status:Confirmed TR:Q8IA71 protein_id:AAN84883.1,C05E4.9b,WBGene00001564,Molecule name for WBGene00001564(icl-1). History: Renamed on 2010-11-16
VC5.3a,34.0,69.0,CE21224 WBGene00003786 locus:npa-1 status:Confirmed TR:Q9TYU6 protein_id:AAC78208.1,VC5.3a,WBGene00003786,Molecule name for WBGene00003786(npa-1). History: N.A.
ZK1320.9,4.0,8.0,CE01707 WBGene00014258 acetate utilisation protein status:Confirmed TR:Q09657 protein_id:CAA87047.1,ZK1320.9,WBGene00014258,Public name for WBGene00014258. History: N.A.
C44E4.3,2.0,4.0,CE34271 WBGene00016652 aminotransferase status:Partially_confirmed TR:O01804 protein_id:AAD47121.2,C44E4.3,WBGene00016652,Sequence name for WBGene00016652(got-2.1). History: N.A.
C44E4.4,9.0,18.0,CE08718 WBGene00016653 RNA-binding protein status:Confirmed TR:O01806 protein_id:AAB54169.1,C44E4.4,WBGene00016653,Sequence name for WBGene00016653(ssb-1). History: N.A.
C50B6.2,7.0,14.0,CE08871 WBGene00008218 locus:nasp-2 histone binding protein status:Confirmed TR:O17687 protein_id:CAB02850.1,C50B6.2,WBGene00008218,Sequence name for WBGene00008218(nasp-2). History: N.A.
F15C11.2a,2.0,4.0,CE09413 WBGene00008852 Ubiquitin family status:Confirmed TR:Q7JK76 protein_id:CAB10932.1,F15C11.2a,WBGene00008852,Molecule name for WBGene00008852(ubql-1). History: N.A.
C29F3.1,4.0,8.0,CE08435 WBGene00001150 locus:ech-1 long-chain enoyl-CoA hydratase status:Partially_confirmed TR:O17612 protein_id:CAB02799.1,C29F3.1,WBGene00001150,Sequence name for WBGene00001150(ech-1.1). History: Renamed on 2014-09-24
C47B2.3,70.0,140.0,CE17563 WBGene00006529 locus:tba-2 Tubulin status:Confirmed SW:P34690 protein_id:CAB16856.1,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
F32D1.5,3.0,6.0,CE09869 WBGene00017984 GMP reductase status:Confirmed SW:O16294 protein_id:AAB65350.1,F32D1.5,WBGene00017984,Sequence name for WBGene00017984(gmpr-1). History: N.A.
Y110A7A.14,2.0,4.0,CE30307 WBGene00003924 locus:pas-3 endopeptidase status:Confirmed SW:Q9N599 protein_id:AAF60416.2,Y110A7A.14,WBGene00003924,Sequence name for WBGene00003924(pas-3). History: N.A.
R06C1.4,3.0,6.0,"CE18119 WBGene00011059 RNA recognition motif. (aka RRM, RBD, or RNP domain) status:Confirmed TR:O62337 protein_id:CAB03222.1",R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
F54H12.6,21.0,42.0,CE00548 WBGene00018846 Elongation factor 1 status:Confirmed SW:P34460 protein_id:AAA28051.1,F54H12.6,WBGene00018846,Sequence name for WBGene00018846(eef-1B.1). History: N.A.
F40F4.2,8.0,16.0,CE04532 WBGene00002254 locus:lbp-2 fatty acid-binding protein status:Confirmed SW:Q20224 protein_id:AAA81435.1,F40F4.2,WBGene00002254,Sequence name for WBGene00002254(lbp-2). History: N.A.
C32D5.8b,2.0,4.0,CE37326 WBGene00016316 status:Confirmed TR:Q65ZJ7 protein_id:AAU20849.1,C32D5.8b,WBGene00016316,Molecule name for WBGene00016316(C32D5.8). History: N.A.
B0365.1,4.0,8.0,CE07719 WBGene00007150 ATP citrate lyase status:Partially_confirmed TR:P90731 protein_id:CAB02690.1,B0365.1,WBGene00007150,Sequence name for WBGene00007150(acly-2). History: N.A.
F27D9.5,10.0,20.0,CE04451 WBGene00017864 locus:pcca-1 Propionyl-coA carboxylase alpha chain precursor status:Confirmed SW:Q19842 protein_id:AAA93384.1,F27D9.5,WBGene00017864,Sequence name for WBGene00017864(pcca-1). History: N.A.
C44B7.10,15.0,30.0,CE32326 WBGene00016630 status:Confirmed TR:Q18599 protein_id:AAN63431.1,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
C10G11.7,2.0,4.0,CE08086 WBGene00015687 status:Confirmed TR:P91027 protein_id:AAB42247.1,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
Y47G6A.22,4.0,8.0,CE24368 WBGene00021647 status:Confirmed TR:Q8MXS8 protein_id:AAM43788.1,Y47G6A.22,WBGene00021647,Public name for WBGene00021647. History: N.A.
Y69F12A.2a,7.0,14.0,CE34422 WBGene00000118 locus:alh-12 aldehyde dehydrogenase status:Confirmed TR:Q7Z1Q3 protein_id:AAP46268.1,Y69F12A.2a,WBGene00000118,Molecule name for WBGene00000118(alh-12). History: N.A.
Y54E10A.9c,3.0,6.0,CE37437 WBGene00006888 locus:vbh-1 status:Partially_confirmed TR:Q65XX1 protein_id:AAU20831.1,Y54E10A.9c,WBGene00006888,Molecule name for WBGene00006888(vbh-1). History: N.A.
ZK1058.1,3.0,6.0,CE30404 WBGene00014202 locus:mmcm-1 Methylmalonyl-coA mutase status:Confirmed SW:Q23381 protein_id:CAA84676.2,ZK1058.1,WBGene00014202,Sequence name for WBGene00014202(mmcm-1). History: N.A.
C01G6.6a,2.0,4.0,CE00868 WBGene00006510 locus:tag-165 NADPH-ferrihemoprotein reductase status:Confirmed SW:Q17574 protein_id:CAA84637.1,C01G6.6a,WBGene00006510,Molecule name for WBGene00006510(mtrr-1). History: Renamed on 2011-04-20
K01G5.5,9.0,18.0,CE16195 WBGene00010478 centromere\/microtubule binding protein status:Confirmed SW:O17919 protein_id:CAB07244.1,K01G5.5,WBGene00010478,Public name for WBGene00010478. History: N.A.
F57B9.3,8.0,16.0,CE01338 WBGene00018997 Eukaryotic initiation factor 4A status:Partially_confirmed TR:Q20935 protein_id:AAA21169.1,F57B9.3,WBGene00018997,Public name for WBGene00018997. History: Renamed on 2005-03-17
Y47G6A.20c,3.0,6.0,CE31375 WBGene00004389 locus:rnp-6 status:Confirmed TR:Q8MXS9 protein_id:AAM81102.1,Y47G6A.20c,WBGene00004389,Molecule name for WBGene00004389(rnp-6). History: Renamed on 2015-03-05
C07H6.5,15.0,30.0,CE00839 WBGene00000479 locus:cgh-1 ATP-dependent RNA helicase status:Confirmed SW:Q95YF3 protein_id:AAK85443.1,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
F32H2.9,5.0,10.0,CE34484 WBGene00006532 locus:tba-6 tubulin alpha chain status:Confirmed TR:P91873 protein_id:CAB04246.2,F32H2.9,WBGene00006532,Sequence name for WBGene00006532(tba-6). History: N.A.
K04D7.3,20.0,40.0,CE06092 WBGene00001794 locus:gta-1 4-aminobutyrate aminotransferase status:Confirmed SW:Q21217 protein_id:CAA93517.1,K04D7.3,WBGene00001794,Sequence name for WBGene00001794(gta-1). History: N.A.
K08E3.5b,5.0,10.0,CE18870 WBGene00010665 UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE (EC 2.7.7.9) (UDP-GLUCOSE PYROPHOSPHORYLASE) (UDPGP) status:Confirmed TR:Q9XUS5 protein_id:CAB04597.1,K08E3.5b,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
T28H11.6,2.0,4.0,CE09149 WBGene00006040 locus:ssp-11 status:Confirmed SW:Q23058 protein_id:AAB04599.1,T28H11.6,WBGene00006040,Sequence name for WBGene00006040(ssp-11). History: N.A.
T20B12.7,3.0,6.0,CE01413 WBGene00020604 status:Confirmed SW:P41847 protein_id:AAA19060.1,T20B12.7,WBGene00020604,Public name for WBGene00020604. History: N.A.
F26H9.5,3.0,6.0,CE09710 WBGene00009177 phosphoserine aminotransferase status:Confirmed SW:P91856 protein_id:CAB04204.1,F26H9.5,WBGene00009177,Public name for WBGene00009177. History: N.A.
T10B5.5b,9.0,18.0,CE33316 WBGene00020391 status:Confirmed TR:Q86S29 protein_id:AAO25994.1,T10B5.5b,WBGene00020391,Molecule name for WBGene00020391(cct-7). History: N.A.
Y39E4A.3b,2.0,4.0,CE38987 WBGene00012713 status:Confirmed TR:Q4A1S8 protein_id:CAJ21557.1,Y39E4A.3b,WBGene00012713,Molecule name for WBGene00012713(bckd-1A). History: N.A.
F26E4.8,69.0,133.0,CE09692 WBGene00006528 locus:tba-1 TBA-2 tubulin alpha-2 chain status:Confirmed TR:O18688 protein_id:CAB03001.1,F26E4.8,WBGene00006528,Sequence name for WBGene00006528(tba-1). History: N.A.
M03F4.2b,48.0,92.0,CE28620 WBGene00000066 locus:act-4 status:Confirmed TR:Q95ZL1 protein_id:AAK77622.1,M03F4.2b,WBGene00000066,Molecule name for WBGene00000066(act-4). History: N.A.
F54C9.1,11.0,21.0,CE02249 WBGene00002065 locus:iff-2 initiation factor 5A status:Confirmed SW:Q20751 protein_id:CAA90247.1,F54C9.1,WBGene00002065,Sequence name for WBGene00002065(iff-2). History: N.A.
F57B9.6a,30.0,57.0,CE01341 WBGene00002083 locus:inf-1 status:Confirmed SW:P27639 protein_id:AAA21170.1,F57B9.6a,WBGene00002083,Molecule name for WBGene00002083(inf-1). History: N.A.
F35G12.1a,9.0,17.0,CE31498 WBGene00009439 malonyl-COA decarboxylase status:Confirmed TR:Q20048 protein_id:CAA86324.2,F35G12.1a,WBGene00009439,Molecule name for WBGene00009439(mlcd-1). History: N.A.
Y75B12B.5,30.0,56.0,CE20374 WBGene00000879 locus:cyn-3 Peptidyl-prolyl cis-trans isomerases status:Confirmed SW:P52011 protein_id:CAA21762.1,Y75B12B.5,WBGene00000879,Sequence name for WBGene00000879(cyn-3). History: N.A.
F46G10.1a,7.0,13.0,CE41319 WBGene00009796 status:Confirmed TR:Q20476 protein_id:CAA90542.3,F46G10.1a,WBGene00009796,Molecule name for WBGene00009796(F46G10.1). History: N.A.
R11H6.1,14.0,26.0,CE12770 WBGene00003982 locus:pes-9 Yeast hypothetical 52.9 KD protein like status:Confirmed TR:O18000 protein_id:CAB07646.1,R11H6.1,WBGene00003982,Sequence name for WBGene00003982(pes-9). History: N.A.
T03F1.3,13.0,24.0,CE13100 WBGene00020185 locus:pgk-1 phosphoglycerate kinase status:Confirmed SW:P91427 protein_id:AAB42230.1,T03F1.3,WBGene00020185,Sequence name for WBGene00020185(pgk-1). History: N.A.
R07E5.8,6.0,11.0,CE00660 WBGene00000520 locus:cku-80 status:Partially_confirmed TR:Q21829 protein_id:CAA83623.1,R07E5.8,WBGene00000520,Sequence name for WBGene00000520(cku-80). History: N.A.
F44E7.4a,6.0,11.0,CE10402 WBGene00018426 peptidase status:Confirmed TR:O16249 protein_id:AAC25789.1,F44E7.4a,WBGene00018426,Molecule name for WBGene00018426(F44E7.4). History: N.A.
ZK973.6,11.0,20.0,CE33588 WBGene00000140 locus:anc-1 status:Confirmed SW:Q9N4M4 protein_id:AAF40010.3,ZK973.6,WBGene00000140,Sequence name for WBGene00000140(anc-1). History: N.A.
T10B5.5a,11.0,20.0,CE28255 WBGene00020391 status:Confirmed TR:Q9TZS5 protein_id:AAC19232.2,T10B5.5a,WBGene00020391,Molecule name for WBGene00020391(cct-7). History: N.A.
F40A3.3a,5.0,9.0,CE10146 WBGene00018218 phosphatidylethanolamine binding protein status:Confirmed SW:O16264 protein_id:AAB65322.1,F40A3.3a,WBGene00018218,Molecule name for WBGene00018218(F40A3.3). History: N.A.
Y38F2AL.3a,5.0,9.0,CE29997 WBGene00006920 locus:vha-11 status:Confirmed SW:Q9XXU9 protein_id:AAF59474.3,Y38F2AL.3a,WBGene00006920,Molecule name for WBGene00006920(vha-11). History: N.A.
R08E5.3,5.0,9.0,CE12576 WBGene00019963 status:Confirmed TR:O01593 protein_id:AAB52277.1,R08E5.3,WBGene00019963,Sequence name for WBGene00019963(rips-1). History: N.A.
Y39B6A.20,451.0,811.0,CE21681 WBGene00000214 locus:asp-1 peptidase (A1 pepsin family) status:Confirmed TR:Q9TVS4 protein_id:CAC51056.1,Y39B6A.20,WBGene00000214,Sequence name for WBGene00000214(asp-1). History: N.A.
F58A6.9,24.0,43.0,CE02603 WBGene00019026 major sperm protein status:Confirmed TR:Q95PJ7 protein_id:AAA96205.1,F58A6.9,WBGene00019026,Public name for WBGene00019026. History: N.A.
F55H2.6,9.0,16.0,CE00213 WBGene00000550 locus:clu-1 status:Confirmed SW:P34466 protein_id:CAA80143.1,F55H2.6,WBGene00000550,Sequence name for WBGene00000550(clu-1). History: N.A.
C39D10.7,9.0,16.0,"CE29712 WBGene00016534 similar to C. elegans proteins B0280.5, R02F2.4 and C07G2.1 status:Partially_confirmed TR:Q18529 protein_id:AAK39209.2",C39D10.7,WBGene00016534,Public name for WBGene00016534. History: N.A.
F46E10.10c,9.0,16.0,CE33097 WBGene00018491 status:Confirmed TR:Q8IA50 protein_id:AAO12428.1,,,
F17C11.9c,17.0,30.0,CE39492 WBGene00008920 status:Confirmed TR:Q2PJ76 protein_id:CAJ55245.1,F17C11.9c,WBGene00008920,Molecule name for WBGene00008920(eef-1G). History: N.A.
T05G5.6,29.0,51.0,CE00318 WBGene00001155 locus:ech-6 Enoyl-CoA hydratase status:Confirmed SW:P34559 protein_id:CAA81594.1,T05G5.6,WBGene00001155,Sequence name for WBGene00001155(ech-6). History: N.A.
F53A2.7,20.0,35.0,CE10878 WBGene00009952 Thiolases status:Confirmed TR:O45552 protein_id:CAB04455.2,F53A2.7,WBGene00009952,Sequence name for WBGene00009952(acaa-2). History: N.A.
T19H12.2,4.0,7.0,CE13754 WBGene00020588 status:Confirmed SW:O01615 protein_id:AAC69027.1,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
Y55B1AR.1,4.0,7.0,CE22493 WBGene00002269 locus:lec-6 status:Confirmed TR:Q9N384 protein_id:AAF60785.1,Y55B1AR.1,WBGene00002269,Sequence name for WBGene00002269(lec-6). History: N.A.
C06A8.1a,4.0,7.0,CE30593 WBGene00015512 status:Confirmed SW:Q17693 protein_id:AAA81048.2,C06A8.1a,WBGene00015512,Molecule name for WBGene00015512(mthf-1). History: N.A.
K08B4.6,4.0,7.0,CE18035 WBGene00000535 locus:cpi-1 protease inhibitor status:Confirmed TR:Q9TYY2 protein_id:AAC68983.1,K08B4.6,WBGene00000535,Sequence name for WBGene00000535(cpi-1). History: Renamed on 2006-01-04
R107.7,129.0,225.0,CE00302 WBGene00001749 locus:gst-1 glutathione S-transferase status:Confirmed SW:P10299 protein_id:CAA78471.1,R107.7,WBGene00001749,Sequence name for WBGene00001749(gst-1). History: N.A.
W01B11.3,11.0,19.0,CE18307 WBGene00020915 status:Confirmed TR:O45012 protein_id:AAK21475.1,W01B11.3,WBGene00020915,Sequence name for WBGene00020915(nol-58). History: Renamed on 2017-08-01
Y59H11AM.1,24.0,41.0,CE25520 WBGene00022005 status:Predicted TR:Q95XU7 protein_id:AAK68539.1,Y59H11AM.1,WBGene00022005,Public name for WBGene00022005. History: N.A.
F56F3.1,3.0,5.0,CE17911 WBGene00004132 locus:pqn-45 status:Partially_confirmed TR:Q20898 protein_id:CAA83608.1,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
T26A5.9,3.0,5.0,CE00788 WBGene00001005 locus:dlc-1 status:Confirmed SW:Q22799 protein_id:AAC77510.1,T26A5.9,WBGene00001005,Sequence name for WBGene00001005(dlc-1). History: N.A.
Y80D3A.1,9.0,15.0,CE35140 WBGene00006945 locus:wrs-1 tryptophanyl-tRNA synthetase status:Confirmed TR:Q9U1R2 protein_id:CAB60439.2,Y80D3A.1,WBGene00006945,Sequence name for WBGene00006945(wars-1). History: Renamed on 2010-01-29
R05F9.3,27.0,45.0,CE04805 WBGene00003430 locus:msp-32 major sperm protein status:Predicted SW:P53018 protein_id:AAA83168.1,R05F9.3,WBGene00003430,Sequence name for WBGene00003430(msp-32). History: N.A.
F13G11.3,3.0,5.0,CE40453 WBGene00045038 status:Confirmed TR:Q067X2 protein_id:CAL49433.1,F13G11.3,WBGene00045038,Sequence name for WBGene00045038(ule-2). History: N.A.
K04G7.4a,6.0,10.0,CE01361 WBGene00019401 locus:nuo-4 NADH dehydrogenase status:Confirmed TR:Q21233 protein_id:AAA62532.1,K04G7.4a,WBGene00019401,Molecule name for WBGene00019401(nuo-4). History: N.A.
T04C9.4c,3.0,5.0,CE31591 WBGene00003375 locus:mlp-1 contains LIM-like binding domain status:Partially_confirmed TR:Q9GP96 protein_id:AAM97946.1,T04C9.4c,WBGene00003375,Molecule name for WBGene00003375(mlp-1). History: N.A.
F01F1.8a,6.0,10.0,CE01234 WBGene00000381 locus:cct-6 status:Confirmed SW:P46550 protein_id:AAC46642.1,F01F1.8a,WBGene00000381,Molecule name for WBGene00000381(cct-6). History: N.A.
H28O16.1a,6.0,10.0,"CE18826 WBGene00010419 ATP synthase alpha and beta subunits, ATP synthase Alpha chain, C terminal status:Confirmed SW:Q9XXK1 protein_id:CAA19429.1",H28O16.1a,WBGene00010419,Molecule name for WBGene00010419(atp-1). History: Renamed on 2005-03-17
F58F12.1,3.0,5.0,CE01976 WBGene00019061 ATP synthase status:Confirmed SW:Q09544 protein_id:AAC46699.1,F58F12.1,WBGene00019061,Public name for WBGene00019061. History: Renamed on 2005-03-17
T05C3.5,3.0,5.0,CE13229 WBGene00001037 locus:dnj-19 DNAJ-like protein status:Confirmed TR:O16303 protein_id:AAB65361.1,T05C3.5,WBGene00001037,Sequence name for WBGene00001037(dnj-19). History: Renamed on 2005-12-16
B0395.3,3.0,5.0,CE02944 WBGene00007175 choline O-acetyltransferase status:Partially_confirmed TR:Q17499 protein_id:CAA92218.1,B0395.3,WBGene00007175,Public name for WBGene00007175. History: N.A.
W02D3.5,24.0,40.0,CE14426 WBGene00002258 locus:lbp-6 fatty acid-binding protein status:Confirmed SW:O01812 protein_id:AAK21484.1,W02D3.5,WBGene00002258,Sequence name for WBGene00002258(lbp-6). History: N.A.
T18H9.2a,12.0,20.0,CE33320 WBGene00000215 locus:asp-2 protease status:Partially_confirmed TR:Q86NE1 protein_id:AAO25989.1,,,
T02G5.7,12.0,20.0,CE04859 WBGene00020166 acetoacetyl CoA thiolase status:Confirmed TR:Q22101 protein_id:AAA82398.1,T02G5.7,WBGene00020166,Public name for WBGene00020166. History: N.A.
F46E10.1a,3.0,5.0,CE20812 WBGene00018488 long-chain-fatty-acid-CoA ligase status:Confirmed TR:Q9UAV8 protein_id:AAD14712.1,F46E10.1a,WBGene00018488,Molecule name for WBGene00018488(acs-1). History: N.A.
R09B3.2,3.0,5.0,"CE16307 WBGene00011155 RNA recognition motif. (aka RRM, RBD, or RNP domain) status:Confirmed TR:O45712 protein_id:CAB03236.1",R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
K08E3.1,6.0,10.0,CE18864 WBGene00010661 locus:tyr-2 tyrosinase status:Partially_confirmed TR:Q9XUS8 protein_id:CAB04594.1,K08E3.1,WBGene00010661,Sequence name for WBGene00010661(tyr-2). History: N.A.
C41C4.8,16.0,26.0,CE05402 WBGene00008053 locus:cdc-48.2 P97 protein status:Confirmed SW:P54812 protein_id:CAA88314.1,C41C4.8,WBGene00008053,Sequence name for WBGene00008053(cdc-48.2). History: N.A.
Y49A3A.2,31.0,50.0,CE22210 WBGene00013025 locus:vha-13 ATP synthase alpha and beta subunits \; ATP synthase ab C terminal status:Confirmed SW:Q9XW92 protein_id:CAA22076.1,Y49A3A.2,WBGene00013025,Sequence name for WBGene00013025(vha-13). History: Renamed on 2005-03-17
ZK1307.1a,5.0,8.0,CE01690 WBGene00014244 status:Confirmed SW:Q09359 protein_id:CAA87437.1,ZK1307.1a,WBGene00014244,Molecule name for WBGene00014244(ZK1307.1). History: N.A.
T02G5.9b,5.0,8.0,CE28247 WBGene00002238 locus:krs-1 lysyl-tRNA synthetase status:Confirmed TR:Q95ZQ3 protein_id:AAK68395.1,T02G5.9b,WBGene00002238,Molecule name for WBGene00002238(kars-1). History: Renamed on 2010-01-29
F54D8.3b,20.0,32.0,CE32434 WBGene00000107 locus:alh-1 status:Confirmed TR:Q8IG19 protein_id:AAN63391.1,F54D8.3b,WBGene00000107,Molecule name for WBGene00000107(alh-1). History: N.A.
Y105E8A.4,5.0,8.0,CE25707 WBGene00001156 locus:ech-7 status:Confirmed TR:Q9NEZ8 protein_id:CAC48118.1,Y105E8A.4,WBGene00001156,Sequence name for WBGene00001156(ech-7). History: N.A.
Y71H2AM.19,5.0,8.0,CE38657 WBGene00022184 status:Partially_confirmed TR:Q4W5R4 protein_id:AAY43989.1,Y71H2AM.19,WBGene00002244,"Sequence name for WBGene00002244(laf-1). History: N.A.. Public name for Dead gene WBGene00022184. History of WBGene00022184: Merged into ""WBGene00002244"" on 2009-05-07"
F55B11.2,5.0,8.0,CE32898 WBGene00010084 status:Confirmed TR:O17891 protein_id:CAB05901.2,F55B11.2,WBGene00010084,Public name for WBGene00010084. History: N.A.
K02F2.2,214.0,341.0,CE17154 WBGene00019322 S-adenosylhomocysteine hydrolase status:Confirmed SW:P27604 protein_id:AAB97565.1,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
T08B2.7c,12.0,19.0,CE30299 WBGene00020347 status:Partially_confirmed TR:Q8T8N8 protein_id:AAL77185.1,,,
C47E12.5a,19.0,30.0,CE05449 WBGene00006699 locus:uba-1 ubiquitin-activating enzyme status:Confirmed TR:Q27481 protein_id:CAA93101.1,C47E12.5a,WBGene00006699,Molecule name for WBGene00006699(uba-1). History: N.A.
ZC373.2,7.0,11.0,CE02375 WBGene00013867 status:Partially_confirmed TR:Q23258 protein_id:CAA88974.1,ZC373.2,WBGene00013867,Public name for WBGene00013867. History: N.A.
Y23H5A.3,7.0,11.0,CE18359 WBGene00021270 status:Partially_confirmed TR:O76616 protein_id:AAC64630.1,Y23H5A.3,WBGene00021270,Sequence name for WBGene00021270(pid-3). History: Renamed on 2019-11-21
VC5.3b,7.0,11.0,CE33332 WBGene00003786 locus:npa-1 status:Confirmed TR:Q86S16 protein_id:AAO25985.1,VC5.3b,WBGene00003786,Molecule name for WBGene00003786(npa-1). History: N.A.
Y38F1A.6,21.0,33.0,CE24222 WBGene00012608 Iron-containing alcohol dehydrogenases status:Confirmed TR:Q9U2M4 protein_id:CAA21631.2,Y38F1A.6,WBGene00012608,Sequence name for WBGene00012608(hphd-1). History: N.A.
F54D8.3a,23.0,36.0,CE29809 WBGene00000107 locus:alh-1 Aldehyde dehydrogenase 2 status:Confirmed TR:Q20780 protein_id:AAA20615.3,F54D8.3a,WBGene00000107,Molecule name for WBGene00000107(alh-1). History: N.A.
T05D4.1,25.0,39.0,CE16341 WBGene00011474 Fructose-bisphosphate aldolase class-I status:Confirmed SW:P54216 protein_id:CAB03291.1,T05D4.1,WBGene00011474,Sequence name for WBGene00011474(aldo-1). History: N.A.
Y113G7B.17,18.0,28.0,CE23297 WBGene00013766 status:Confirmed TR:Q9U2X0 protein_id:CAB54335.1,Y113G7B.17,WBGene00013766,Sequence name for WBGene00013766(prmt-1). History: N.A.
Y38H6C.1,52.0,80.0,CE19095 WBGene00012615 status:Confirmed TR:Q9XX57 protein_id:CAA20981.1,Y38H6C.1,WBGene00012615,Sequence name for WBGene00012615(dct-16). History: N.A.
D2023.2,13.0,20.0,CE09072 WBGene00004258 locus:pyc-1 pyruvate carboxylase status:Confirmed SW:O17732 protein_id:CAB02872.1,D2023.2,WBGene00004258,Sequence name for WBGene00004258(pyc-1). History: N.A.
T13F2.10,25.0,38.0,CE09861 WBGene00003466 locus:msp-79 major sperm protein status:Confirmed SW:Q9TVW5 protein_id:CAB03361.1,T13F2.10,WBGene00003466,Sequence name for WBGene00003466(msp-79). History: N.A.
Y70C5C.1,2.0,3.0,CE37861 WBGene00013492 status:Partially_confirmed TR:O62499 protein_id:CAB16537.2,Y70C5C.1,WBGene00013492,Public name for WBGene00013492. History: N.A.
Y55F3AM.13,2.0,3.0,CE22542 WBGene00021930 status:Confirmed TR:Q9N362 protein_id:AAF60790.1,Y55F3AM.13,WBGene00021930,Public name for WBGene00021930. History: N.A.
B0035.4,2.0,3.0,CE05162 WBGene00007107 locus:pfd-4 paramyosin like status:Confirmed SW:Q17435 protein_id:CAA97410.1,B0035.4,WBGene00007107,"Sequence name for WBGene00007107(pfd-4). History: Split into B0035.22(WBGene00303031). History of WBGene00007107: Renamed on 2006-08-02; Split into ""WBGene00303031"" on 2018-03-01"
C37A2.7,2.0,3.0,CE30433 WBGene00016493 ribosomal protein status:Confirmed SW:O01504 protein_id:AAB52450.2,C37A2.7,WBGene00016493,Public name for WBGene00016493. History: N.A.
F02E9.9b,6.0,9.0,CE41217 WBGene00008532 status:Partially_confirmed TR:Q2XMY9 protein_id:CAJ43903.2,F02E9.9b,WBGene00008532,Molecule name for WBGene00008532(dpt-1). History: N.A.
W07E11.1,2.0,3.0,CE02372 WBGene00012326 glutamate synthase status:Partially_confirmed TR:Q22275 protein_id:CAA90032.1,W07E11.1,WBGene00012326,Public name for WBGene00012326. History: N.A.
Y54G2A.23,2.0,3.0,CE30049 WBGene00021888 status:Confirmed SW:Q9N3B0 protein_id:AAK93864.2,Y54G2A.23,WBGene00021888,Sequence name for WBGene00021888(manf-1). History: N.A.
T12D8.8,6.0,9.0,CE16405 WBGene00011735 TPR Domain (2 domains) status:Confirmed TR:O45786 protein_id:CAB05818.1,T12D8.8,WBGene00011735,Sequence name for WBGene00011735(hip-1). History: N.A.
T02G5.9c,4.0,6.0,CE38540 WBGene00002238 locus:krs-1 status:Confirmed TR:Q2XN16 protein_id:AAX88810.1,,,
Y37E3.17b,10.0,15.0,CE37062 WBGene00021355 status:Confirmed TR:Q6AW03 protein_id:AAT81177.1,Y37E3.17b,WBGene00021355,Molecule name for WBGene00021355(Y37E3.17). History: N.A.
Y39A1C.3,6.0,9.0,CE19148 WBGene00000475 locus:cey-4 'Cold-shock' DNA-binding domain status:Confirmed TR:Q9XTJ6 protein_id:CAA19509.1,Y39A1C.3,WBGene00000475,Sequence name for WBGene00000475(cey-4). History: N.A.
