gene_id,description,wt rep 1,wt rep 2,wt rep 3,henn-1 rep 1,henn-1 rep 2,henn-1 rep 3,fold_change*,pvalue_adj,Direction of change,Predicted piRNA targets,CLASH counts,Input,Suggested Match,History
F57G4.9,Transposon,84.58,81.17,82.09,46.19,36.72,36.52,-2.08,0.000637,downregulated,ND,ND,F57G4.9,,Sequence name for Suppressed gene WBGene00010213. Molecular name for Suppressed gene WBGene00010213. Public name for Suppressed gene WBGene00010213. History of WBGene00010213: Killed on 2008-07-18; Suppressed on 2012-11-18. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T08B2.11,Coding_gene,223.6,268.49,246.27,179.53,177.13,179.7,-1.38,0.000645,downregulated,21,3,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
Y116F11B.12,gly-4,312.84,333.85,333.68,218.38,252.21,250.05,-1.36,0.00096,downregulated,30,15,Y116F11B.12,WBGene00001629,Sequence name for WBGene00001629(gly-4). History: N.A.
F59A1.8,Pseudogene,217.77,211.4,217.1,157.48,150.13,152.8,-1.4,0.000998,downregulated,ND,ND,F59A1.8,WBGene00010294,Sequence name for WBGene00010294(fbxa-129). History: N.A.
Y73F8A.32,Coding_gene,62.69,53.34,70.52,32.89,35.88,28.28,-1.91,0.00137,downregulated,7,2,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
C01F6.3,Pseudogene,147.77,129.34,158.78,90.29,77.76,125.89,-1.47,0.00205,downregulated,ND,ND,C01F6.3,WBGene00000374,Sequence name for WBGene00000374(cyp-31A1). History: N.A.
W04A8.2,Coding_gene,195.41,189.1,200.9,152.23,142.57,131.66,-1.37,0.00206,downregulated,7,20,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
Y40B1A.3,Coding_gene,318.44,311.8,280.22,227.18,221.79,249.24,-1.3,0.00472,downregulated,32,8,Y40B1A.3,WBGene00012734,Sequence name for WBGene00012734(wac-1.1). History: N.A.
F54C4.4,Coding_gene,218.74,191.79,209.52,159.59,135.01,148.96,-1.4,0.0051,downregulated,17,3,F54C4.4,WBGene00018795,Public name for WBGene00018795. History: N.A.
F02H6.1,Coding_gene,167.22,177.51,174.98,124.93,137.17,116.28,-1.38,0.0059,downregulated,ND,ND,F02H6.1,WBGene00008534,Public name for WBGene00008534. History: N.A.
F58G1.1,wago-4,3447.37,3600.07,4074.29,2868.24,2659.13,2960.77,-1.31,0.00746,downregulated,18,34,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
T19C4.6,gpa-1,91.95,74.84,72.73,41.39,53.22,51.86,-1.64,0.0076,downregulated,13,4,T19C4.6,WBGene00001663,Sequence name for WBGene00001663(gpa-1). History: N.A.
Y50D7A.6,klp-20,279.99,334.5,370.49,235.17,273.26,244.09,-1.31,0.00869,downregulated,20,47,Y50D7A.6,WBGene00002230,Sequence name for WBGene00002230(klp-20). History: N.A.
F35H10.10,Coding_gene,73.89,61.55,83.17,34.65,32.4,49.01,-1.87,0.00963,downregulated,30,1,F35H10.10,WBGene00018073,Public name for WBGene00018073. History: N.A.
T03E6.7,cpl-1,387.9,370.18,354.28,277.17,260.3,279.65,-1.36,0.0102,downregulated,11,3,T03E6.7,WBGene00000776,Sequence name for WBGene00000776(cpl-1). History: N.A.
F54D11.3,Coding_gene,270.27,260.46,322.95,192.13,233.3,213.34,-1.33,0.0115,downregulated,11,40,F54D11.3,WBGene00018813,Public name for WBGene00018813. History: N.A.
F55D12.5,Coding_gene,214.85,218.54,221.43,162.73,146.89,189.31,-1.31,0.0118,downregulated,28,4,F55D12.5,WBGene00010113,Public name for WBGene00010113. History: N.A.
M02D8.4,asns-2,60.91,58.55,50.8,25.06,28.37,40.14,-1.81,0.0125,downregulated,12,1,M02D8.4,WBGene00019730,Sequence name for WBGene00019730(asns-2). History: N.A.
C50C3.9,unc-36,27.95,55.65,45.31,23.75,9.77,23.33,-2.32,0.0172,downregulated,55,0,C50C3.9,WBGene00006772,Sequence name for WBGene00006772(unc-36). History: N.A.
F26H11.4,Coding_gene,76.8,107.93,96.13,60.89,43.2,58.62,-1.72,0.0195,downregulated,17,0,F26H11.4,WBGene00009182,"Public name for WBGene00009182. History: Split into dsb-2(WBGene00194892). History of WBGene00009182: Split into ""WBGene00194892"" on 2009-12-08"
R144.4,wip-1,147.72,134.56,137.34,114.32,103.48,96.96,-1.33,0.021,downregulated,6,23,R144.4,WBGene00020094,Sequence name for WBGene00020094(wip-1). History: N.A.
ZC317.1,Coding_gene,84.58,100.8,76.69,43.04,51.84,71.11,-1.58,0.0254,downregulated,13,4,ZC317.1,WBGene00022587,Public name for WBGene00022587. History: N.A.
F39F10.2,Coding_gene,57.36,49.95,37.8,31.5,30.24,19.22,-1.81,0.0265,downregulated,9,2,F39F10.2,WBGene00018202,Public name for WBGene00018202. History: N.A.
K06B9.2,Coding_gene,63.19,90.09,71.29,50.39,49.68,51.89,-1.48,0.0359,downregulated,ND,ND,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
C05B10.1,lip-1,311.1,211.4,210.62,193.18,178.21,150.88,-1.41,0.0476,downregulated,7,13,C05B10.1,WBGene00003043,Sequence name for WBGene00003043(lip-1). History: N.A.
WBTransposon00000095,Transposon,73.89,89.2,82.09,66.14,29.16,49.97,-1.69,0.0492,downregulated,ND,ND,,,
"* Fold changes were calculated using DESeq2, which applies statistical methods to calulate a finite estimate for genes in which 0  reads were captured in the dataset and shrink imprecise estimates towards 0. As such, the fold change is not simply the ratio of  mean normalized reads. Reads mapping to multiple features were evenly split between each feature such that features with identical sequences will have the same numbers of reads.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
