Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Fold change at gen 50,adjusted P value,Input,Suggested Match,History
ZK131.2,his-25,yes,14.13,19.59,17.19,245.84,395.91,367.26,19.96,3.87e-53,ZK131.2,WBGene00001899,Sequence name for WBGene00001899(his-25). History: N.A.
ZK131.3,his-9,yes,14.13,19.59,17.19,245.84,395.91,367.26,19.96,3.87e-53,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
ZK131.4,his-10,yes,11.3,16.03,14.12,66.06,189.74,268.31,12.69,9.51e-13,ZK131.4,WBGene00001884,Sequence name for WBGene00001884(his-10). History: N.A.
ZK131.5,his-11,yes,9.89,11.88,9.21,214.44,448.82,444.33,35.81,1.19e-39,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
ZK131.6,his-12,yes,9.42,12.47,10.44,1373.25,1304.49,1072.3,116.78,7.91e-157,ZK131.6,WBGene00001886,Sequence name for WBGene00001886(his-12). History: N.A.
ZK131.7,his-13,yes,14.13,19.59,17.19,245.84,395.91,367.26,19.96,3.87e-53,ZK131.7,WBGene00001887,Sequence name for WBGene00001887(his-13). History: N.A.
ZK131.8,his-14,yes,11.3,16.03,14.12,66.06,189.74,268.31,12.69,9.51e-13,ZK131.8,WBGene00001888,Sequence name for WBGene00001888(his-14). History: N.A.
ZK131.9,his-15,yes,9.89,11.88,9.21,214.44,448.82,444.33,35.81,1.19e-39,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
ZK228.1,ZK228.1,yes,23.08,26.72,23.33,1096,424.19,1800.17,45.42,1.6100000000000002e-27,ZK228.1,WBGene00013944,Public name for WBGene00013944. History: N.A.
ZK250.9,ZK250.9,yes,5.18,4.16,4.3,64.98,47.44,55.18,12.18,1.68e-15,ZK250.9,,Sequence name for Suppressed gene WBGene00022692. Molecular name for Suppressed gene WBGene00022692. Public name for Suppressed gene WBGene00022692. History of WBGene00022692: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK355.2,ZK355.2,yes,71.12,74.82,79.21,5717.19,3429.99,6727.79,70.55,1.06e-109,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
